timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
19.05695,False,GameStart,Map1,Null,0,0,0,Null
19.07695,False,CardSpawn,Map1,Forest,3.625002,0.08099877,4.375,Card/Nature/C_Forest
19.07695,False,CardSpawn,Map1,Forest,4.875002,0.08099877,2.625,Card/Nature/C_Forest
19.07695,False,CardSpawn,Map1,Mountain,7.125,0.08099877,-1.575,Card/Nature/C_Mountain
19.07695,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
19.07695,False,CardSpawn,Map1,Apple Tree,4.06,0.08114969,0.82,Card/Nature/C_Tree
19.07695,False,CardSpawn,Map1,Mountain,4.875001,0.08099876,-3.674999,Card/Nature/C_Mountain
19.07695,False,CardSpawn,Map1,Copper Mine,7.875,0.08099876,-3.674999,Card/Nature/C_Copper Mine
19.07695,False,CardSpawn,Map1,Forest,7.125,0.08114969,3.674999,Card/Nature/C_Forest
24.12622,False,CardSpawn,Map1,village,46.39946,0.1766915,172.8473,Card/Scene/C_Human Captal
24.15956,False,CardSpawn,Map1,village,-28.00002,0.188228,140.5,Card/Scene/C_Orc Captal
24.19289,False,CardSpawn,Map1,village,-2.547993,0.188385,222.4659,Card/Scene/C_Elf Captal
24.22623,False,CardSpawn,Map1,village,36.99998,0.1766915,171.75,Card/Scene/C_Human Villager
24.25956,False,CardSpawn,Map1,village,52.74998,0.188228,186.25,Card/Scene/C_Human Villager
24.29289,False,CardSpawn,Map1,village,32.49998,0.188385,175.75,Card/Scene/C_Human Villager
24.32623,False,CardSpawn,Map1,village,48.24998,0.1766915,184,Card/Scene/C_Human Villager
24.35956,False,CardSpawn,Map1,village,55.49998,0.188228,190.25,Card/Scene/C_Human Villager
24.39289,False,CardSpawn,Map1,village,57.74998,0.188385,177,Card/Scene/C_Human Villager
24.42623,False,CardSpawn,Map1,village,17.49998,0.1766915,170.25,Card/Scene/C_Human Villager
24.45956,False,CardSpawn,Map1,village,22.24998,0.188228,164.25,Card/Scene/C_Human Villager
24.4929,False,CardSpawn,Map1,village,37.24998,0.188385,158.5,Card/Scene/C_Human Villager
24.52623,False,CardSpawn,Map1,village,27.49998,0.1766915,173.5,Card/Scene/C_Human Villager
24.55956,False,CardSpawn,Map1,village,51.24998,0.188228,180.75,Card/Scene/C_Human Villager
24.5929,False,CardSpawn,Map1,village,67.99998,0.188385,182.25,Card/Scene/C_Human Villager
24.62623,False,CardSpawn,Map1,village,30.24998,0.1766915,163,Card/Scene/C_Human Villager
24.65956,False,CardSpawn,Map1,village,62.74998,0.188228,175,Card/Scene/C_Human Villager
24.6929,False,CardSpawn,Map1,village,36.99998,0.188385,182.75,Card/Scene/C_Human Villager
24.72623,False,CardSpawn,Map1,village,40.99998,0.1766915,160.5,Card/Scene/C_Human Villager
24.75957,False,CardSpawn,Map1,village,-34.50002,0.188228,179.25,Card/Scene/C_Orc Village
24.7929,False,CardSpawn,Map1,village,-34.00002,0.188385,155,Card/Scene/C_Orc Village
24.82623,False,CardSpawn,Map1,village,-35.75002,0.1766915,108.25,Card/Scene/C_Orc Village
24.85957,False,CardSpawn,Map1,village,-18.25002,0.188228,120,Card/Scene/C_Orc Village
24.8929,False,CardSpawn,Map1,village,-66.00002,0.188385,121.75,Card/Scene/C_Orc Village
24.92623,False,CardSpawn,Map1,village,-25.50002,0.1766915,150,Card/Scene/C_Orc Village
24.95957,False,CardSpawn,Map1,village,-25.75002,0.188228,124.5,Card/Scene/C_Orc Village
24.9929,False,CardSpawn,Map1,village,-28.00002,0.188385,108.75,Card/Scene/C_Orc Village
25.02623,False,CardSpawn,Map1,village,-26.75002,0.1766915,116.75,Card/Scene/C_Orc Village
25.05957,False,CardSpawn,Map1,village,-38.75002,0.188228,139.5,Card/Scene/C_Orc Village
25.09291,False,CardSpawn,Map1,village,-28.25002,0.188385,113.5,Card/Scene/C_Orc Village
25.12623,False,CardSpawn,Map1,village,-49.25002,0.1766915,161.25,Card/Scene/C_Orc Village
25.15957,False,CardSpawn,Map1,village,-17.75002,0.188228,145,Card/Scene/C_Orc Village
25.1929,False,CardSpawn,Map1,village,-15.75002,0.188385,133.5,Card/Scene/C_Orc Village
25.22624,False,CardSpawn,Map1,village,-51.00002,0.1766915,143.75,Card/Scene/C_Orc Village
25.25957,False,CardSpawn,Map1,village,-19.00002,0.188228,123.25,Card/Scene/C_Orc Village
25.2929,False,CardSpawn,Map1,village,-32.75002,0.188385,127,Card/Scene/C_Orc Village
25.32624,False,CardSpawn,Map1,village,-43.25002,0.1766915,124.5,Card/Scene/C_Orc Village
25.35957,False,CardSpawn,Map1,village,-23.25002,0.188228,139.75,Card/Scene/C_Orc Village
25.3929,False,CardSpawn,Map1,village,-14.25002,0.188385,124,Card/Scene/C_Orc Village
25.42624,False,CardSpawn,Map1,village,-31.25002,0.1766915,176.25,Card/Scene/C_Orc Village
25.45957,False,CardSpawn,Map1,village,-29.50002,0.188228,124,Card/Scene/C_Orc Village
25.49291,False,CardSpawn,Map1,village,-48.50002,0.188385,141.75,Card/Scene/C_Orc Village
25.52624,False,CardSpawn,Map1,village,-53.25002,0.1766915,153,Card/Scene/C_Orc Village
25.55957,False,CardSpawn,Map1,village,-74.00002,0.188228,119.25,Card/Scene/C_Orc Village
25.59291,False,CardSpawn,Map1,village,-29.50002,0.188385,179.25,Card/Scene/C_Orc Village
25.62624,False,CardSpawn,Map1,village,-38.50002,0.1766915,148.5,Card/Scene/C_Orc Village
25.65957,False,CardSpawn,Map1,village,-53.00002,0.188228,138,Card/Scene/C_Orc Village
25.69291,False,CardSpawn,Map1,village,-45.50002,0.188385,114.75,Card/Scene/C_Orc Village
25.72624,False,CardSpawn,Map1,village,-33.75002,0.1766915,149,Card/Scene/C_Orc Village
25.75957,False,CardSpawn,Map1,village,-10.25002,0.188228,212.75,Card/Scene/C_Elf Village
25.79291,False,CardSpawn,Map1,village,-32.25002,0.188385,217.25,Card/Scene/C_Elf Village
25.82624,False,CardSpawn,Map1,village,0.9999771,0.1766915,219.75,Card/Scene/C_Elf Village
25.85957,False,CardSpawn,Map1,village,-8.000023,0.188228,221.25,Card/Scene/C_Elf Village
25.89291,False,CardSpawn,Map1,village,-73.75002,0.188385,208.75,Card/Scene/C_Elf Village
25.92624,False,CardSpawn,Map1,village,-9.500023,0.1766915,217.5,Card/Scene/C_Elf Village
25.95958,False,CardSpawn,Map1,village,13.49998,0.188228,213.5,Card/Scene/C_Elf Village
25.99291,False,CardSpawn,Map1,village,-14.00002,0.188385,221,Card/Scene/C_Elf Village
26.02624,False,CardSpawn,Map1,village,48.74998,0.1766915,231.5,Card/Scene/C_Elf Village
26.05958,False,CardSpawn,Map1,village,-25.25002,0.188228,216.25,Card/Scene/C_Elf Village
26.09291,False,CardSpawn,Map1,village,16.24998,0.188385,225.75,Card/Scene/C_Elf Village
26.12624,False,CardSpawn,Map1,village,-40.25002,0.1766915,212.75,Card/Scene/C_Elf Village
26.15958,False,CardSpawn,Map1,village,-18.75002,0.188228,202,Card/Scene/C_Elf Village
26.19291,False,CardSpawn,Map1,village,-42.75002,0.188385,197.5,Card/Scene/C_Elf Village
26.22624,False,CardSpawn,Map1,village,34.24998,0.1766915,202.25,Card/Scene/C_Elf Village
26.25958,False,CardSpawn,Map1,village,-15.00002,0.188228,225.25,Card/Scene/C_Elf Village
26.29291,False,CardSpawn,Map1,village,-20.00002,0.188385,231,Card/Scene/C_Elf Village
26.32624,False,CardSpawn,Map1,village,-22.25002,0.1766915,196.75,Card/Scene/C_Elf Village
26.35958,False,CardSpawn,Map1,village,46.24998,0.188228,232,Card/Scene/C_Elf Village
26.39291,False,CardSpawn,Map1,village,60.74998,0.188385,206.5,Card/Scene/C_Elf Village
26.42625,False,CardSpawn,Map1,village,15.99998,0.1766915,221.5,Card/Scene/C_Elf Village
26.45958,False,CardSpawn,Map1,village,26.74998,0.188228,215,Card/Scene/C_Elf Village
26.49291,False,CardSpawn,Map1,village,-39.50002,0.188385,219.5,Card/Scene/C_Elf Village
26.52625,False,CardSpawn,Map1,village,-44.00002,0.1766915,219.25,Card/Scene/C_Elf Village
26.55958,False,CardSpawn,Map1,village,8.749977,0.188228,222.25,Card/Scene/C_Elf Village
26.59291,False,CardSpawn,Map1,village,1.499977,0.188385,211.25,Card/Scene/C_Elf Village
