timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
18.80073,False,GameStart,Map1,Null,0,0,0,Null
25.3645,False,CardSpawn,Map1,village,31.74998,0.1766915,170.75,Card/Scene/C_Human Captal
25.39717,False,CardSpawn,Map1,village,-41.78082,0.188385,142.5054,Card/Scene/C_Orc Captal
25.42793,False,CardSpawn,Map1,village,-2.547993,0.1766915,222.4659,Card/Scene/C_Elf Captal
25.46057,False,CardSpawn,Map1,village,38.74998,0.1766915,174.25,Card/Scene/C_Human Villager
25.49408,False,CardSpawn,Map1,village,54.24998,0.188228,180.75,Card/Scene/C_Human Villager
25.52979,False,CardSpawn,Map1,village,26.74998,0.188385,170,Card/Scene/C_Human Villager
25.55971,False,CardSpawn,Map1,village,21.74998,0.188228,163.75,Card/Scene/C_Human Villager
25.59518,False,CardSpawn,Map1,village,29.74998,0.188228,185,Card/Scene/C_Human Villager
25.62683,False,CardSpawn,Map1,village,49.24998,0.188385,172.75,Card/Scene/C_Human Villager
25.66051,False,CardSpawn,Map1,village,65.24998,0.1766915,177.5,Card/Scene/C_Human Villager
25.69566,False,CardSpawn,Map1,village,37.99998,0.188228,184,Card/Scene/C_Human Villager
25.72757,False,CardSpawn,Map1,village,64.74998,0.188385,162.75,Card/Scene/C_Human Villager
25.76184,False,CardSpawn,Map1,village,26.49998,0.1766915,182.25,Card/Scene/C_Human Villager
25.79411,False,CardSpawn,Map1,village,61.24998,0.188228,182.5,Card/Scene/C_Human Villager
25.82779,False,CardSpawn,Map1,village,33.49998,0.188385,174,Card/Scene/C_Human Villager
25.8647,False,CardSpawn,Map1,village,29.24998,0.1766915,162.75,Card/Scene/C_Human Villager
25.89458,False,CardSpawn,Map1,village,50.24998,0.188228,164,Card/Scene/C_Human Villager
25.928,False,CardSpawn,Map1,village,66.24998,0.188385,192,Card/Scene/C_Human Villager
25.9623,False,CardSpawn,Map1,village,49.99998,0.1766915,178.25,Card/Scene/C_Human Villager
25.99926,False,CardSpawn,Map1,village,-32.00002,0.188228,156.5,Card/Scene/C_Orc Village
26.02785,False,CardSpawn,Map1,village,-22.50002,0.188385,130,Card/Scene/C_Orc Village
26.07087,False,CardSpawn,Map1,village,-24.00002,0.1766915,133.75,Card/Scene/C_Orc Village
