timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
8.941646,False,GameStart,Map1,Null,0,0,0,Null
8.961646,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
8.961646,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
8.961646,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
8.961646,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
8.961646,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
8.961646,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
8.961646,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
8.961646,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
14.2026,False,CardSpawn,Map1,village,60.99998,0.1766915,174.75,Card/Scene/C_Human Captal
14.23593,False,CardSpawn,Map1,village,-41.78082,0.188385,142.5054,Card/Scene/C_Orc Captal
14.27007,False,CardSpawn,Map1,village,-2.547993,0.1766915,222.4659,Card/Scene/C_Elf Captal
14.30398,False,CardSpawn,Map1,village,67.49998,0.1766915,179.75,Card/Scene/C_Human Villager
14.33792,False,CardSpawn,Map1,village,57.99998,0.188228,192.25,Card/Scene/C_Human Villager
14.37126,False,CardSpawn,Map1,village,54.74998,0.188385,177,Card/Scene/C_Human Villager
14.40494,False,CardSpawn,Map1,village,61.99998,0.1766915,166.5,Card/Scene/C_Human Villager
14.43888,False,CardSpawn,Map1,village,46.49998,0.188228,165.75,Card/Scene/C_Human Villager
14.47277,False,CardSpawn,Map1,village,41.49998,0.188385,179,Card/Scene/C_Human Villager
14.50669,False,CardSpawn,Map1,village,64.74998,0.1766915,168.75,Card/Scene/C_Human Villager
14.54029,False,CardSpawn,Map1,village,43.74998,0.1766915,167.5,Card/Scene/C_Human Villager
