timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
31.50865,False,GameStart,Map1,Null,0,0,0,Null
31.52865,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
31.52865,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
31.52865,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
31.52865,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
31.52865,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
31.52865,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
31.52865,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
31.52865,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
36.57848,False,CardSpawn,Map1,village,46.39946,0.188228,172.8473,Card/Scene/C_Human Captal
36.61181,False,CardSpawn,Map1,village,-41.78082,0.188385,142.5054,Card/Scene/C_Orc Captal
36.64515,False,CardSpawn,Map1,village,-2.547993,0.1766915,222.4659,Card/Scene/C_Elf Captal
36.67848,False,CardSpawn,Map1,village,46.49998,0.188228,181.5,Card/Scene/C_Human Villager
36.71181,False,CardSpawn,Map1,village,34.49998,0.188385,157.5,Card/Scene/C_Human Villager
36.74515,False,CardSpawn,Map1,village,57.74998,0.1766915,160.75,Card/Scene/C_Human Villager
36.77848,False,CardSpawn,Map1,village,48.74998,0.188228,179,Card/Scene/C_Human Villager
36.81181,False,CardSpawn,Map1,village,66.49998,0.188385,173,Card/Scene/C_Human Villager
36.84515,False,CardSpawn,Map1,village,62.49998,0.1766915,159.75,Card/Scene/C_Human Villager
36.87848,False,CardSpawn,Map1,village,52.74998,0.188228,170.5,Card/Scene/C_Human Villager
36.91182,False,CardSpawn,Map1,village,51.24998,0.188385,167,Card/Scene/C_Human Villager
36.94515,False,CardSpawn,Map1,village,63.49998,0.1766915,167.5,Card/Scene/C_Human Villager
36.97848,False,CardSpawn,Map1,village,42.49998,0.188228,184.25,Card/Scene/C_Human Villager
37.01182,False,CardSpawn,Map1,village,62.24998,0.188385,186.25,Card/Scene/C_Human Villager
37.04515,False,CardSpawn,Map1,village,38.99998,0.1766915,187,Card/Scene/C_Human Villager
37.07848,False,CardSpawn,Map1,village,60.99998,0.188228,173.25,Card/Scene/C_Human Villager
37.11182,False,CardSpawn,Map1,village,63.74998,0.188385,193.25,Card/Scene/C_Human Villager
37.14515,False,CardSpawn,Map1,village,41.49998,0.1766915,167,Card/Scene/C_Human Villager
37.17849,False,CardSpawn,Map1,village,56.74998,0.188228,187,Card/Scene/C_Human Villager
37.21182,False,CardSpawn,Map1,village,-36.00002,0.188385,152.25,Card/Scene/C_Orc Village
37.24515,False,CardSpawn,Map1,village,-67.00002,0.1766915,120.25,Card/Scene/C_Orc Village
37.27848,False,CardSpawn,Map1,village,-52.25002,0.188228,147,Card/Scene/C_Orc Village
