timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
53.37953,False,GameStart,Map1,Null,0,0,0,Null
53.39953,False,CardSpawn,Map1,Apple Tree,4.06,0.08114969,0.82,Card/Nature/C_Tree
53.39953,False,CardSpawn,Map1,Forest,4.875002,0.08099877,2.625,Card/Nature/C_Forest
53.39953,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
53.39953,False,CardSpawn,Map1,Forest,3.625002,0.08099877,4.375,Card/Nature/C_Forest
53.39953,False,CardSpawn,Map1,Mountain,7.125,0.08099877,-1.575,Card/Nature/C_Mountain
53.39953,False,CardSpawn,Map1,Mountain,4.875001,0.08099876,-3.674999,Card/Nature/C_Mountain
53.39953,False,CardSpawn,Map1,Copper Mine,7.875,0.08099876,-3.674999,Card/Nature/C_Copper Mine
53.39953,False,CardSpawn,Map1,Forest,7.125,0.08114969,3.674999,Card/Nature/C_Forest
60.11105,False,CardSpawn,Map1,village,46.39946,0.188385,172.8473,Card/Scene/C_Human Captal
60.14231,False,CardSpawn,Map1,village,-28.00002,0.1766915,140.5,Card/Scene/C_Orc Captal
60.1745,False,CardSpawn,Map1,village,-2.547993,0.188228,222.4659,Card/Scene/C_Elf Captal
60.21123,False,CardSpawn,Map1,village,28.74998,0.188385,182.5,Card/Scene/C_Human Villager
60.25428,False,CardSpawn,Map1,village,32.99998,0.1766915,184.25,Card/Scene/C_Human Villager
60.28341,False,CardSpawn,Map1,village,50.49998,0.1766915,179.5,Card/Scene/C_Human Villager
60.31773,False,CardSpawn,Map1,village,42.74998,0.188228,172,Card/Scene/C_Human Villager
60.34963,False,CardSpawn,Map1,village,43.99998,0.188385,168.25,Card/Scene/C_Human Villager
60.38228,False,CardSpawn,Map1,village,30.49998,0.1766915,187,Card/Scene/C_Human Villager
60.41537,False,CardSpawn,Map1,village,35.24998,0.188228,156.5,Card/Scene/C_Human Villager
60.45005,False,CardSpawn,Map1,village,43.99998,0.188385,179,Card/Scene/C_Human Villager
60.48209,False,CardSpawn,Map1,village,43.24998,0.1766915,183.5,Card/Scene/C_Human Villager
60.5173,False,CardSpawn,Map1,village,27.74998,0.188228,172.75,Card/Scene/C_Human Villager
60.55062,False,CardSpawn,Map1,village,38.99998,0.188385,171.25,Card/Scene/C_Human Villager
60.58404,False,CardSpawn,Map1,village,54.74998,0.1766915,188,Card/Scene/C_Human Villager
60.61697,False,CardSpawn,Map1,village,52.99998,0.188228,180.75,Card/Scene/C_Human Villager
60.64996,False,CardSpawn,Map1,village,73.24998,0.188385,173.25,Card/Scene/C_Human Villager
60.68301,False,CardSpawn,Map1,village,22.74998,0.1766915,168.25,Card/Scene/C_Human Villager
60.71667,False,CardSpawn,Map1,village,66.49998,0.188228,171,Card/Scene/C_Human Villager
60.75108,False,CardSpawn,Map1,village,-55.00002,0.188385,148.25,Card/Scene/C_Orc Village
60.7828,False,CardSpawn,Map1,village,-44.25002,0.1766915,112.75,Card/Scene/C_Orc Village
60.81765,False,CardSpawn,Map1,village,-31.25002,0.188228,144.75,Card/Scene/C_Orc Village
60.84992,False,CardSpawn,Map1,village,-43.00002,0.188385,131,Card/Scene/C_Orc Village
60.88381,False,CardSpawn,Map1,village,-51.25002,0.1766915,157.25,Card/Scene/C_Orc Village
60.91658,False,CardSpawn,Map1,village,-34.00002,0.188228,122.25,Card/Scene/C_Orc Village
60.95137,False,CardSpawn,Map1,village,-34.00002,0.188385,154,Card/Scene/C_Orc Village
60.9839,False,CardSpawn,Map1,village,-48.00002,0.1766915,173,Card/Scene/C_Orc Village
61.01701,False,CardSpawn,Map1,village,-42.25002,0.188228,134,Card/Scene/C_Orc Village
61.04981,False,CardSpawn,Map1,village,-42.25002,0.188385,142.75,Card/Scene/C_Orc Village
61.08289,False,CardSpawn,Map1,village,-36.25002,0.1766915,162.75,Card/Scene/C_Orc Village
61.11589,False,CardSpawn,Map1,village,-35.25002,0.188228,119.5,Card/Scene/C_Orc Village
61.15036,False,CardSpawn,Map1,village,-39.50002,0.188385,116.75,Card/Scene/C_Orc Village
61.18417,False,CardSpawn,Map1,village,-50.50002,0.1766915,142.75,Card/Scene/C_Orc Village
61.22044,False,CardSpawn,Map1,village,-22.00002,0.1766915,128.75,Card/Scene/C_Orc Village
61.24871,False,CardSpawn,Map1,village,-17.25002,0.188385,132.25,Card/Scene/C_Orc Village
61.28303,False,CardSpawn,Map1,village,-47.50002,0.1766915,161.25,Card/Scene/C_Orc Village
61.31705,False,CardSpawn,Map1,village,-29.00002,0.188228,152,Card/Scene/C_Orc Village
61.35034,False,CardSpawn,Map1,village,-30.50002,0.188385,130.75,Card/Scene/C_Orc Village
61.38518,False,CardSpawn,Map1,village,-36.75002,0.1766915,133.25,Card/Scene/C_Orc Village
61.41678,False,CardSpawn,Map1,village,-39.75002,0.188228,135,Card/Scene/C_Orc Village
61.45032,False,CardSpawn,Map1,village,-47.50002,0.188385,147.75,Card/Scene/C_Orc Village
61.48637,False,CardSpawn,Map1,village,-33.25002,0.1766915,113.5,Card/Scene/C_Orc Village
61.5186,False,CardSpawn,Map1,village,-58.25002,0.188228,149.5,Card/Scene/C_Orc Village
61.55614,False,CardSpawn,Map1,village,-23.50002,0.188385,142.75,Card/Scene/C_Orc Village
61.59512,False,CardSpawn,Map1,village,-34.00002,0.1766915,116.25,Card/Scene/C_Orc Village
61.62685,False,CardSpawn,Map1,village,-35.75002,0.1766915,109,Card/Scene/C_Orc Village
61.66003,False,CardSpawn,Map1,village,-38.50002,0.1766915,126.75,Card/Scene/C_Orc Village
61.69493,False,CardSpawn,Map1,village,-42.50002,0.188228,128.25,Card/Scene/C_Orc Village
61.72641,False,CardSpawn,Map1,village,-19.00002,0.188385,128.25,Card/Scene/C_Orc Village
61.76031,False,CardSpawn,Map1,village,30.99998,0.1766915,204.25,Card/Scene/C_Elf Village
61.79154,False,CardSpawn,Map1,village,18.49998,0.188385,227.5,Card/Scene/C_Elf Village
61.82667,False,CardSpawn,Map1,village,23.49998,0.1766915,223.5,Card/Scene/C_Elf Village
61.85991,False,CardSpawn,Map1,village,-6.250023,0.188228,225,Card/Scene/C_Elf Village
61.89426,False,CardSpawn,Map1,village,-16.00002,0.188385,221.75,Card/Scene/C_Elf Village
61.92613,False,CardSpawn,Map1,village,-1.000023,0.1766915,216,Card/Scene/C_Elf Village
61.95992,False,CardSpawn,Map1,village,-15.25002,0.188228,228.75,Card/Scene/C_Elf Village
61.99594,False,CardSpawn,Map1,village,-75.25002,0.188385,225.5,Card/Scene/C_Elf Village
62.02719,False,CardSpawn,Map1,village,1.249977,0.1766915,228,Card/Scene/C_Elf Village
62.06091,False,CardSpawn,Map1,village,-27.25002,0.1766915,217.75,Card/Scene/C_Elf Village
62.09195,False,CardSpawn,Map1,village,37.24998,0.188385,201,Card/Scene/C_Elf Village
62.12827,False,CardSpawn,Map1,village,65.49998,0.1766915,200.75,Card/Scene/C_Elf Village
62.16275,False,CardSpawn,Map1,village,-5.500023,0.1766915,214.5,Card/Scene/C_Elf Village
62.19167,False,CardSpawn,Map1,village,-26.50002,0.188385,201,Card/Scene/C_Elf Village
62.2287,False,CardSpawn,Map1,village,-0.5000229,0.1766915,208.75,Card/Scene/C_Elf Village
62.26011,False,CardSpawn,Map1,village,-17.50002,0.1766915,202.5,Card/Scene/C_Elf Village
62.29694,False,CardSpawn,Map1,village,-8.500023,0.188228,216.75,Card/Scene/C_Elf Village
62.32671,False,CardSpawn,Map1,village,48.49998,0.188385,224.5,Card/Scene/C_Elf Village
62.35991,False,CardSpawn,Map1,village,-67.50002,0.188228,211,Card/Scene/C_Elf Village
62.39668,False,CardSpawn,Map1,village,-27.00002,0.188228,196,Card/Scene/C_Elf Village
62.42778,False,CardSpawn,Map1,village,53.99998,0.188385,226.25,Card/Scene/C_Elf Village
62.46347,False,CardSpawn,Map1,village,-20.25002,0.1766915,208.75,Card/Scene/C_Elf Village
62.49184,False,CardSpawn,Map1,village,16.24998,0.188385,218.5,Card/Scene/C_Elf Village
62.52797,False,CardSpawn,Map1,village,-27.75002,0.1766915,198.75,Card/Scene/C_Elf Village
62.56375,False,CardSpawn,Map1,village,-66.00002,0.1766915,197,Card/Scene/C_Elf Village
62.59506,False,CardSpawn,Map1,village,-67.00002,0.188228,205.5,Card/Scene/C_Elf Village
62.62683,False,CardSpawn,Map1,village,9.499977,0.188385,214,Card/Scene/C_Elf Village
62.66127,False,CardSpawn,Map1,village,-33.00002,0.1766915,208.75,Card/Scene/C_Elf Village
62.69175,False,CardSpawn,Map1,village,0.7499771,0.188385,219.75,Card/Scene/C_Elf Village
62.72722,False,CardSpawn,Map1,village,29.99998,0.1766915,217,Card/Scene/C_Elf Village
62.76222,False,CardSpawn,Map1,village,40.24998,0.1766915,200.75,Card/Scene/C_Elf Village
62.79173,False,CardSpawn,Map1,village,-13.75002,0.188385,216,Card/Scene/C_Elf Village
62.82731,False,CardSpawn,Map1,village,-16.25002,0.1766915,218.75,Card/Scene/C_Elf Village
62.86103,False,CardSpawn,Map1,village,57.49998,0.1766915,202.5,Card/Scene/C_Elf Village
62.89191,False,CardSpawn,Map1,village,-38.25002,0.188385,197.75,Card/Scene/C_Elf Village
62.93111,False,CardSpawn,Map1,village,46.49998,0.1766915,229.75,Card/Scene/C_Elf Village
62.96499,False,CardSpawn,Map1,village,-20.50002,0.1766915,221.25,Card/Scene/C_Elf Village
