timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
64.24463,False,GameStart,Map1,Null,0,0,0,Null
64.26463,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
64.26463,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
64.26463,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
64.26463,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
64.26463,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
64.26463,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
64.26463,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
64.26463,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
69.35173,False,CardSpawn,Map1,village,60.99998,0.188385,174.75,Card/Scene/C_Human Captal
69.38507,False,CardSpawn,Map1,village,-57.00002,0.1766915,144.75,Card/Scene/C_Orc Captal
69.4184,False,CardSpawn,Map1,village,38.99998,0.188228,223,Card/Scene/C_Elf Captal
69.45174,False,CardSpawn,Map1,village,41.99998,0.188385,178,Card/Scene/C_Human Villager
69.48512,False,CardSpawn,Map1,village,52.99998,0.1766915,190.5,Card/Scene/C_Human Villager
69.51849,False,CardSpawn,Map1,village,37.24998,0.188228,169.5,Card/Scene/C_Human Villager
69.55183,False,CardSpawn,Map1,village,63.24998,0.188385,181,Card/Scene/C_Human Villager
69.58517,False,CardSpawn,Map1,village,37.99998,0.1766915,161.5,Card/Scene/C_Human Villager
69.61851,False,CardSpawn,Map1,village,64.24998,0.188228,183.5,Card/Scene/C_Human Villager
69.65191,False,CardSpawn,Map1,village,45.74998,0.188385,165.25,Card/Scene/C_Human Villager
69.68525,False,CardSpawn,Map1,village,27.99998,0.1766915,186.25,Card/Scene/C_Human Villager
69.71858,False,CardSpawn,Map1,village,59.24998,0.188228,178.5,Card/Scene/C_Human Villager
69.75191,False,CardSpawn,Map1,village,40.74998,0.188385,182.25,Card/Scene/C_Human Villager
69.78525,False,CardSpawn,Map1,village,66.24998,0.1766915,163.25,Card/Scene/C_Human Villager
69.81858,False,CardSpawn,Map1,village,23.99998,0.188228,164.25,Card/Scene/C_Human Villager
69.85191,False,CardSpawn,Map1,village,69.49998,0.188385,167.5,Card/Scene/C_Human Villager
69.88525,False,CardSpawn,Map1,village,38.24998,0.1766915,156.25,Card/Scene/C_Human Villager
69.91862,False,CardSpawn,Map1,village,60.99998,0.188228,158.25,Card/Scene/C_Human Villager
69.95195,False,CardSpawn,Map1,village,31.49998,0.188385,180.25,Card/Scene/C_Human Villager
69.98529,False,CardSpawn,Map1,village,-68.75002,0.1766915,134.75,Card/Scene/C_Orc Village
70.01862,False,CardSpawn,Map1,village,-53.00002,0.188228,146.5,Card/Scene/C_Orc Village
70.05196,False,CardSpawn,Map1,village,-22.25002,0.188385,137,Card/Scene/C_Orc Village
70.08529,False,CardSpawn,Map1,village,-26.00002,0.1766915,172,Card/Scene/C_Orc Village
70.11862,False,CardSpawn,Map1,village,-32.25002,0.188228,148.25,Card/Scene/C_Orc Village
70.15196,False,CardSpawn,Map1,village,-33.00002,0.188385,155.25,Card/Scene/C_Orc Village
70.1853,False,CardSpawn,Map1,village,-37.75002,0.1766915,115.5,Card/Scene/C_Orc Village
