timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
0,False,GameStart,Map1,Null,0,0,0,Null
0.12,False,CardSpawn,Map1,Apple,-8.044,0.140128,1.31,Card/Food/C_Apple
0.12,False,CardSpawn,Map1,Lumberjack,-0.426,0.190128,1.25,Card/Villager/C_Lumberjack
0.12,False,CardSpawn,Map1,Vagrant,-4.84,0.190128,1.25,Card/Villager/C_Vagrant
0.12,False,CardSpawn,Map1,Marauder,-5.44,0.190128,-1.1,Card/Enemy/C_Marauder_01
0.12,False,CardSpawn,Map1,Rabbit,4.34,0.190128,-1.83,Card/Creature/C_Horse
0.12,False,CardSpawn,Map1,Archer,-1.67,0.190128,-1.19,Card/Soldier/C_Archer
0.12,False,CardSpawn,Map1,Rabbit,2.47,0.190128,-1.96,Card/Creature/C_Horse
0.12,False,CardSpawn,Map1,Village,2.569999,0.1500981,112.187,Card/C_Settlement
1.102245,False,CardSpawn,Map1,Forest,5.22,0.65214,2.2,Card/Nature/C_Forest
1.102245,False,CardSpawn,Map1,Mountain,4.53,0.03487583,-3.01,Card/Nature/C_Mountain
1.102245,False,CardSpawn,Map1,Logging Axe,-1.759,0.32114,1.3,Card/Tool/C_Logging Axe
1.102245,False,CardSpawn,Map1,Mining Pickaxe,2.6,0.32114,-1.51,Card/Tool/C_StonePickaxe
3.242213,False,CardSpawn,Map1,Tree,6.375,0.036228,1.575,Card/Nature/C_Tree
3.242213,False,CardSpawn,Map1,Rock,3.375,0.036228,-3.675,Card/Nature/C_Rock
8.682326,False,CardSpawn,Map1,Wood,-0.6279908,0.64114,-1.989531,Card/Material/C_Wood
9.003896,False,CardSpawn,Map1,Stone,-1.41315,0.64114,-0.3393087,Card/Material/C_Stone
9.184226,False,CardSpawn,Map1,Wood,-0.01938526,0.64114,0.4511795,Card/Material/C_Wood
9.327147,False,CardSpawn,Map1,Stone,0.7678263,0.64114,-0.01474643,Card/Material/C_Stone
9.488438,False,CardSpawn,Map1,Wood,0.9630401,0.64114,-1.19994,Card/Material/C_Wood
9.501163,False,CardSpawn,Map1,Stone,0.9475411,0.64114,-1.264673,Card/Material/C_Stone
9.649618,False,CardSpawn,Map1,Stone,0.9663416,0.64114,-1.917774,Card/Material/C_Stone
9.743094,False,CardSpawn,Map1,Wood,0.772777,0.64114,-2.195413,Card/Material/C_Wood
9.982025,False,CardSpawn,Map1,Stone,-2.504038,0.64114,-2.6971,Card/Material/C_Stone
10.14356,False,CardSpawn,Map1,Wood,-3.665276,0.64114,-2.254894,Card/Material/C_Wood
10.63612,False,CardDestroyed,Map1,Marauder,-5.54,0.035,0.25,Card/Enemy/C_Marauder_01
