timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
46.2783,False,GameStart,Map1,Null,0,0,0,Null
46.29829,False,CardSpawn,Map1,Forest,3.625002,0.08099877,4.375,Card/Nature/C_Forest
46.29829,False,CardSpawn,Map1,Forest,4.875002,0.08099877,2.625,Card/Nature/C_Forest
46.29829,False,CardSpawn,Map1,Mountain,7.125,0.08099877,-1.575,Card/Nature/C_Mountain
46.29829,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
46.29829,False,CardSpawn,Map1,Apple Tree,4.06,0.08114969,0.82,Card/Nature/C_Tree
46.29829,False,CardSpawn,Map1,Mountain,4.875001,0.08099876,-3.674999,Card/Nature/C_Mountain
46.29829,False,CardSpawn,Map1,Copper Mine,7.875,0.08099876,-3.674999,Card/Nature/C_Copper Mine
46.29829,False,CardSpawn,Map1,Forest,7.125,0.08114969,3.674999,Card/Nature/C_Forest
51.55319,False,CardSpawn,Map1,village,60.99998,0.188385,174.75,Card/Scene/C_Human Captal
51.58685,False,CardSpawn,Map1,village,-41.78082,0.1766915,142.5054,Card/Scene/C_Orc Captal
51.62033,False,CardSpawn,Map1,village,-2.547993,0.1766915,222.4659,Card/Scene/C_Elf Captal
51.65435,False,CardSpawn,Map1,village,67.49998,0.188385,172.5,Card/Scene/C_Human Villager
51.68836,False,CardSpawn,Map1,village,39.99998,0.1766915,183.75,Card/Scene/C_Human Villager
51.72233,False,CardSpawn,Map1,village,62.24998,0.1766915,177.25,Card/Scene/C_Human Villager
51.75611,False,CardSpawn,Map1,village,29.74998,0.188385,167.75,Card/Scene/C_Human Villager
51.78986,False,CardSpawn,Map1,village,40.49998,0.1766915,173.25,Card/Scene/C_Human Villager
51.8236,False,CardSpawn,Map1,village,72.74998,0.1766915,183.75,Card/Scene/C_Human Villager
51.85751,False,CardSpawn,Map1,village,44.49998,0.188228,177,Card/Scene/C_Human Villager
51.89144,False,CardSpawn,Map1,village,64.74998,0.188385,168.5,Card/Scene/C_Human Villager
51.92551,False,CardSpawn,Map1,village,63.99998,0.1766915,152.5,Card/Scene/C_Human Villager
51.95899,False,CardSpawn,Map1,village,39.74998,0.188228,179.25,Card/Scene/C_Human Villager
51.9929,False,CardSpawn,Map1,village,25.49998,0.188385,161.5,Card/Scene/C_Human Villager
52.0265,False,CardSpawn,Map1,village,57.74998,0.1766915,192.25,Card/Scene/C_Human Villager
52.06022,False,CardSpawn,Map1,village,54.99998,0.1766915,178.5,Card/Scene/C_Human Villager
52.09425,False,CardSpawn,Map1,village,46.74998,0.188385,179.75,Card/Scene/C_Human Villager
52.12806,False,CardSpawn,Map1,village,67.99998,0.1766915,177.5,Card/Scene/C_Human Villager
52.16161,False,CardSpawn,Map1,village,42.74998,0.1766915,174.5,Card/Scene/C_Human Villager
52.19565,False,CardSpawn,Map1,village,-74.50002,0.188385,129,Card/Scene/C_Orc Village
52.22918,False,CardSpawn,Map1,village,-23.50002,0.1766915,149,Card/Scene/C_Orc Village
52.26322,False,CardSpawn,Map1,village,-33.00002,0.1766915,181,Card/Scene/C_Orc Village
52.2969,False,CardSpawn,Map1,village,-38.25002,0.188385,112.75,Card/Scene/C_Orc Village
52.33073,False,CardSpawn,Map1,village,-50.00002,0.1766915,164.25,Card/Scene/C_Orc Village
52.36434,False,CardSpawn,Map1,village,-41.25002,0.1766915,129.5,Card/Scene/C_Orc Village
52.39811,False,CardSpawn,Map1,village,-36.25002,0.188228,109.5,Card/Scene/C_Orc Village
52.43179,False,CardSpawn,Map1,village,-39.00002,0.188385,152.5,Card/Scene/C_Orc Village
52.46583,False,CardSpawn,Map1,village,-37.25002,0.1766915,131.75,Card/Scene/C_Orc Village
52.49945,False,CardSpawn,Map1,village,-30.50002,0.188228,132,Card/Scene/C_Orc Village
52.53296,False,CardSpawn,Map1,village,-36.50002,0.188385,153.75,Card/Scene/C_Orc Village
52.56658,False,CardSpawn,Map1,village,-20.50002,0.1766915,137.5,Card/Scene/C_Orc Village
52.60052,False,CardSpawn,Map1,village,-68.75002,0.1766915,134,Card/Scene/C_Orc Village
52.6342,False,CardSpawn,Map1,village,-29.75002,0.188385,146,Card/Scene/C_Orc Village
52.66759,False,CardSpawn,Map1,village,-20.50002,0.1766915,145.5,Card/Scene/C_Orc Village
52.70092,False,CardSpawn,Map1,village,-50.25002,0.1766915,144,Card/Scene/C_Orc Village
52.7347,False,CardSpawn,Map1,village,-68.50002,0.188385,127.75,Card/Scene/C_Orc Village
52.76847,False,CardSpawn,Map1,village,-48.00002,0.1766915,145.25,Card/Scene/C_Orc Village
52.80237,False,CardSpawn,Map1,village,-32.00002,0.1766915,169,Card/Scene/C_Orc Village
52.83633,False,CardSpawn,Map1,village,-61.25002,0.188385,149.75,Card/Scene/C_Orc Village
52.87021,False,CardSpawn,Map1,village,-45.25002,0.1766915,144,Card/Scene/C_Orc Village
52.90419,False,CardSpawn,Map1,village,-35.25002,0.1766915,140.25,Card/Scene/C_Orc Village
52.93756,False,CardSpawn,Map1,village,-50.00002,0.188228,156.25,Card/Scene/C_Orc Village
52.97136,False,CardSpawn,Map1,village,-57.00002,0.188385,164.75,Card/Scene/C_Orc Village
53.00528,False,CardSpawn,Map1,village,-51.00002,0.1766915,136.75,Card/Scene/C_Orc Village
53.03928,False,CardSpawn,Map1,village,-34.00002,0.188228,175,Card/Scene/C_Orc Village
53.07317,False,CardSpawn,Map1,village,-41.50002,0.188385,148.5,Card/Scene/C_Orc Village
53.10669,False,CardSpawn,Map1,village,-50.25002,0.1766915,140.75,Card/Scene/C_Orc Village
53.14056,False,CardSpawn,Map1,village,-34.25002,0.1766915,146.25,Card/Scene/C_Orc Village
53.17451,False,CardSpawn,Map1,village,-31.00002,0.188385,153,Card/Scene/C_Orc Village
53.20831,False,CardSpawn,Map1,village,24.74998,0.1766915,211.5,Card/Scene/C_Elf Village
53.24235,False,CardSpawn,Map1,village,53.99998,0.1766915,235,Card/Scene/C_Elf Village
53.27627,False,CardSpawn,Map1,village,-74.25002,0.188385,207.75,Card/Scene/C_Elf Village
53.30988,False,CardSpawn,Map1,village,-3.000023,0.1766915,208,Card/Scene/C_Elf Village
53.34364,False,CardSpawn,Map1,village,-22.25002,0.1766915,222,Card/Scene/C_Elf Village
53.37759,False,CardSpawn,Map1,village,-12.25002,0.188228,214.75,Card/Scene/C_Elf Village
53.41117,False,CardSpawn,Map1,village,41.24998,0.188385,230.25,Card/Scene/C_Elf Village
53.44493,False,CardSpawn,Map1,village,-44.25002,0.1766915,221,Card/Scene/C_Elf Village
53.47884,False,CardSpawn,Map1,village,-37.75002,0.188228,218.25,Card/Scene/C_Elf Village
53.51263,False,CardSpawn,Map1,village,3.749977,0.188385,214,Card/Scene/C_Elf Village
53.54623,False,CardSpawn,Map1,village,1.999977,0.1766915,218.25,Card/Scene/C_Elf Village
53.57984,False,CardSpawn,Map1,village,-51.75002,0.188228,191.5,Card/Scene/C_Elf Village
53.61361,False,CardSpawn,Map1,village,-14.00002,0.188385,212.5,Card/Scene/C_Elf Village
53.64711,False,CardSpawn,Map1,village,16.24998,0.1766915,219.25,Card/Scene/C_Elf Village
53.6805,False,CardSpawn,Map1,village,32.99998,0.1766915,216.5,Card/Scene/C_Elf Village
53.71427,False,CardSpawn,Map1,village,-18.00002,0.188385,218.75,Card/Scene/C_Elf Village
53.74826,False,CardSpawn,Map1,village,-10.50002,0.1766915,210.75,Card/Scene/C_Elf Village
53.78218,False,CardSpawn,Map1,village,-32.25002,0.1766915,209.5,Card/Scene/C_Elf Village
53.81613,False,CardSpawn,Map1,village,-25.50002,0.188385,204,Card/Scene/C_Elf Village
53.84959,False,CardSpawn,Map1,village,-39.75002,0.1766915,198.5,Card/Scene/C_Elf Village
53.88345,False,CardSpawn,Map1,village,-26.25002,0.1766915,218.5,Card/Scene/C_Elf Village
53.91737,False,CardSpawn,Map1,village,-28.75002,0.188228,223.25,Card/Scene/C_Elf Village
53.95069,False,CardSpawn,Map1,village,-17.25002,0.188385,229,Card/Scene/C_Elf Village
53.98405,False,CardSpawn,Map1,village,-5.250023,0.1766915,215,Card/Scene/C_Elf Village
54.01739,False,CardSpawn,Map1,village,-45.75002,0.188228,201.5,Card/Scene/C_Elf Village
54.05122,False,CardSpawn,Map1,village,-5.250023,0.188385,228,Card/Scene/C_Elf Village
54.08455,False,CardSpawn,Map1,village,-18.50002,0.1766915,224.25,Card/Scene/C_Elf Village
54.11822,False,CardSpawn,Map1,village,-49.00002,0.188228,189,Card/Scene/C_Elf Village
54.15155,False,CardSpawn,Map1,village,23.24998,0.188385,230.5,Card/Scene/C_Elf Village
54.18536,False,CardSpawn,Map1,village,70.49998,0.1766915,212,Card/Scene/C_Elf Village
54.21914,False,CardSpawn,Map1,village,-24.25002,0.188228,215.25,Card/Scene/C_Elf Village
54.25303,False,CardSpawn,Map1,village,57.24998,0.188385,232.75,Card/Scene/C_Elf Village
54.28663,False,CardSpawn,Map1,village,2.999977,0.1766915,229,Card/Scene/C_Elf Village
