timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
11.61615,False,GameStart,Map1,Null,0,0,0,Null
11.63615,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
11.63615,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
11.63615,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
11.63615,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
11.63615,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
11.63615,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
11.63615,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
11.63615,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
17.21026,False,CardSpawn,Map1,village,46.39946,0.1766915,172.8473,Card/Scene/C_Human Captal
17.24751,False,CardSpawn,Map1,village,-41.78082,0.1766915,142.5054,Card/Scene/C_Orc Captal
17.28084,False,CardSpawn,Map1,village,-2.547993,0.1766915,222.4659,Card/Scene/C_Elf Captal
17.31437,False,CardSpawn,Map1,village,53.24998,0.188385,167,Card/Scene/C_Human Villager
17.34829,False,CardSpawn,Map1,village,53.49998,0.1766915,183,Card/Scene/C_Human Villager
17.38169,False,CardSpawn,Map1,village,26.24998,0.1766915,165.75,Card/Scene/C_Human Villager
17.41531,False,CardSpawn,Map1,village,50.74998,0.188385,168.5,Card/Scene/C_Human Villager
17.44902,False,CardSpawn,Map1,village,28.24998,0.1766915,168.25,Card/Scene/C_Human Villager
17.48235,False,CardSpawn,Map1,village,49.49998,0.1766915,165.25,Card/Scene/C_Human Villager
17.51568,False,CardSpawn,Map1,village,61.74998,0.188385,158.5,Card/Scene/C_Human Villager
