timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
0,False,GameStart,Map1,Null,0,0,0,Null
0.6866667,False,CardSpawn,Map1,Apple Tree,4.06003,0.03816616,0.820002,Card/Nature/C_Tree
0.6866667,False,CardSpawn,Map1,Forest,4.87504,0.0381662,2.625009,Card/Nature/C_Forest
0.6866667,False,CardSpawn,Map1,Forest,7.875085,0.03816618,1.575004,Card/Nature/C_Forest
0.6866667,False,CardSpawn,Map1,Forest,3.625033,0.03816625,4.375018,Card/Nature/C_Forest
0.6866667,False,CardSpawn,Map1,Mountain,7.125062,0.03816611,-1.575008,Card/Nature/C_Mountain
0.6866667,False,CardSpawn,Map1,Mountain,4.875038,0.03816606,-3.675015,Card/Nature/C_Mountain
0.6866667,False,CardSpawn,Map1,Copper Mine,7.875065,0.03816606,-3.675015,Card/Nature/C_Copper Mine
0.6866667,False,CardSpawn,Map1,Forest,7.125063,0.03816621,3.675013,Card/Nature/C_Forest
2.969442,False,CardSpawn,Map1,Wood,-0.289921,0.386385,1.96787,Card/Material/C_Wood
3.02088,False,CardSpawn,Map1,Stone,-0.5762821,0.386385,2.090344,Card/Material/C_Stone
3.171423,False,CardSpawn,Map1,Wood,-0.8121065,0.386385,2.17268,Card/Material/C_Wood
3.289333,False,CardSpawn,Map1,Stone,-0.6424686,0.386385,2.145174,Card/Material/C_Stone
14.52288,False,CardSpawn,Map1,Rock,4.875038,0.03500101,-4.675014,Card/Nature/C_Rock Vein
14.52288,False,CardSpawn,Map1,Chicken,5.575038,0.08333337,-3.675015,Card/Creature/C_Rabbit
17.74231,False,CardSpawn,Map1,Tree,5.575039,0.03500507,1.625009,Card/Nature/C_Tree
17.81768,False,CardSpawn,Map1,Tree,7.175086,0.03500507,1.575004,Card/Nature/C_Tree
17.81768,False,CardSpawn,Map1,Rabbit,7.875085,0.08333337,0.5750042,Card/Creature/C_Rabbit
18.11786,False,CardSpawn,Map1,Tree,6.425064,0.03500507,2.675013,Card/Nature/C_Tree
18.15003,False,CardSpawn,Map1,Tree,3.625033,0.03500507,5.375018,Card/Nature/C_Tree
18.97759,False,CardSpawn,Map1,Rock,7.125062,0.03502533,-0.5750079,Card/Nature/C_Rock Vein
32.22694,False,CardSpawn,Map1,Copper Vein,7.175066,0.03500507,-2.675015,Card/Nature/C_Copper Vein
