timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
327.9024,False,GameStart,Map1,Null,0,0,0,Null
327.9224,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
327.9224,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
327.9224,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
327.9224,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
327.9224,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
327.9224,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
327.9224,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
327.9224,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
333.9221,False,CardSpawn,Map1,village,60.99998,0.1766915,362.2499,Card/Scene/C_Human Captal
333.9554,False,CardSpawn,Map1,village,-41.78082,0.188385,330.0054,Card/Scene/C_Orc Captal
333.9887,False,CardSpawn,Map1,village,-2.547993,0.1766915,409.9659,Card/Scene/C_Elf Captal
334.0221,False,CardSpawn,Map1,village,22.74998,0.1766915,365.2499,Card/Scene/C_Human Villager
334.0554,False,CardSpawn,Map1,village,50.74998,0.188385,366.9999,Card/Scene/C_Human Villager
334.0887,False,CardSpawn,Map1,village,29.99998,0.1766915,361.2499,Card/Scene/C_Human Villager
334.1221,False,CardSpawn,Map1,village,68.49998,0.1766915,349.2499,Card/Scene/C_Human Villager
334.1554,False,CardSpawn,Map1,village,56.24998,0.188385,355.4999,Card/Scene/C_Human Villager
334.1887,False,CardSpawn,Map1,village,64.99998,0.1766915,358.7499,Card/Scene/C_Human Villager
334.2221,False,CardSpawn,Map1,village,57.99998,0.1766915,344.9999,Card/Scene/C_Human Villager
334.2554,False,CardSpawn,Map1,village,44.49998,0.188385,365.9999,Card/Scene/C_Human Villager
334.2887,False,CardSpawn,Map1,village,62.99998,0.1766915,345.7499,Card/Scene/C_Human Villager
334.3221,False,CardSpawn,Map1,village,52.24998,0.1766915,362.7499,Card/Scene/C_Human Villager
334.3554,False,CardSpawn,Map1,village,68.74998,0.188385,373.2499,Card/Scene/C_Human Villager
334.3887,False,CardSpawn,Map1,village,67.99998,0.1766915,377.2499,Card/Scene/C_Human Villager
334.4221,False,CardSpawn,Map1,village,57.24998,0.1766915,365.9999,Card/Scene/C_Human Villager
334.4554,False,CardSpawn,Map1,village,66.24998,0.188385,362.2499,Card/Scene/C_Human Villager
334.4887,False,CardSpawn,Map1,village,62.99998,0.1766915,364.7499,Card/Scene/C_Human Villager
334.5221,False,CardSpawn,Map1,village,31.99998,0.1766915,365.9999,Card/Scene/C_Human Villager
334.5554,False,CardSpawn,Map1,village,-65.75002,0.188385,307.4999,Card/Scene/C_Orc Village
334.5887,False,CardSpawn,Map1,village,-51.25002,0.1766915,328.9999,Card/Scene/C_Orc Village
334.6221,False,CardSpawn,Map1,village,-9.500023,0.1766915,317.4999,Card/Scene/C_Orc Village
334.6554,False,CardSpawn,Map1,village,-30.50002,0.188385,319.4999,Card/Scene/C_Orc Village
334.6888,False,CardSpawn,Map1,village,-20.25002,0.1766915,293.2499,Card/Scene/C_Orc Village
334.7221,False,CardSpawn,Map1,village,-54.25002,0.1766915,335.7499,Card/Scene/C_Orc Village
334.7554,False,CardSpawn,Map1,village,-28.50002,0.188385,326.9999,Card/Scene/C_Orc Village
334.7887,False,CardSpawn,Map1,village,-58.25002,0.1766915,338.2499,Card/Scene/C_Orc Village
334.8221,False,CardSpawn,Map1,village,-39.00002,0.1766915,362.2499,Card/Scene/C_Orc Village
334.8554,False,CardSpawn,Map1,village,-75.75002,0.188385,306.2499,Card/Scene/C_Orc Village
334.8888,False,CardSpawn,Map1,village,-33.75002,0.1766915,356.7499,Card/Scene/C_Orc Village
334.9221,False,CardSpawn,Map1,village,-34.25002,0.1766915,312.9999,Card/Scene/C_Orc Village
334.9554,False,CardSpawn,Map1,village,-48.50002,0.188385,346.7499,Card/Scene/C_Orc Village
334.9888,False,CardSpawn,Map1,village,-57.25002,0.1766915,361.7499,Card/Scene/C_Orc Village
335.0221,False,CardSpawn,Map1,village,-22.00002,0.1766915,334.7499,Card/Scene/C_Orc Village
335.0554,False,CardSpawn,Map1,village,-40.50002,0.188385,359.4999,Card/Scene/C_Orc Village
335.0887,False,CardSpawn,Map1,village,-21.50002,0.1766915,325.4999,Card/Scene/C_Orc Village
335.1221,False,CardSpawn,Map1,village,-19.75002,0.1766915,366.7499,Card/Scene/C_Orc Village
335.1554,False,CardSpawn,Map1,village,-38.00002,0.188385,312.7499,Card/Scene/C_Orc Village
335.1888,False,CardSpawn,Map1,village,-63.00002,0.1766915,353.4999,Card/Scene/C_Orc Village
335.2221,False,CardSpawn,Map1,village,-32.00002,0.1766915,343.9999,Card/Scene/C_Orc Village
335.2554,False,CardSpawn,Map1,village,-51.00002,0.188385,324.2499,Card/Scene/C_Orc Village
335.2888,False,CardSpawn,Map1,village,-53.75002,0.1766915,357.9999,Card/Scene/C_Orc Village
335.3221,False,CardSpawn,Map1,village,-46.75002,0.1766915,338.9999,Card/Scene/C_Orc Village
335.3554,False,CardSpawn,Map1,village,-31.50002,0.188385,327.2499,Card/Scene/C_Orc Village
335.3888,False,CardSpawn,Map1,village,-8.750023,0.1766915,310.4999,Card/Scene/C_Orc Village
335.4221,False,CardSpawn,Map1,village,-54.25002,0.1766915,368.9999,Card/Scene/C_Orc Village
335.4554,False,CardSpawn,Map1,village,-55.50002,0.188385,330.9999,Card/Scene/C_Orc Village
335.4888,False,CardSpawn,Map1,village,-34.75002,0.1766915,336.7499,Card/Scene/C_Orc Village
335.5221,False,CardSpawn,Map1,village,-54.50002,0.1766915,325.4999,Card/Scene/C_Orc Village
335.5555,False,CardSpawn,Map1,village,54.74998,0.188385,403.7499,Card/Scene/C_Elf Village
335.5888,False,CardSpawn,Map1,village,7.249977,0.1766915,409.7499,Card/Scene/C_Elf Village
335.6221,False,CardSpawn,Map1,village,11.74998,0.1766915,416.2499,Card/Scene/C_Elf Village
335.6554,False,CardSpawn,Map1,village,-2.750023,0.188385,413.9999,Card/Scene/C_Elf Village
335.6888,False,CardSpawn,Map1,village,-2.750023,0.1766915,395.9999,Card/Scene/C_Elf Village
335.7221,False,CardSpawn,Map1,village,-19.25002,0.1766915,388.7499,Card/Scene/C_Elf Village
335.7554,False,CardSpawn,Map1,village,-31.00002,0.188385,387.4999,Card/Scene/C_Elf Village
335.7888,False,CardSpawn,Map1,village,-24.75002,0.1766915,407.4999,Card/Scene/C_Elf Village
335.8221,False,CardSpawn,Map1,village,2.499977,0.1766915,411.2499,Card/Scene/C_Elf Village
335.8554,False,CardSpawn,Map1,village,-4.250023,0.188385,406.4999,Card/Scene/C_Elf Village
335.8888,False,CardSpawn,Map1,village,14.24998,0.1766915,414.7499,Card/Scene/C_Elf Village
335.9221,False,CardSpawn,Map1,village,-17.75002,0.1766915,402.4999,Card/Scene/C_Elf Village
335.9554,False,CardSpawn,Map1,village,34.24998,0.188385,392.7499,Card/Scene/C_Elf Village
335.9888,False,CardSpawn,Map1,village,37.49998,0.1766915,382.7499,Card/Scene/C_Elf Village
336.0221,False,CardSpawn,Map1,village,53.24998,0.1766915,409.4999,Card/Scene/C_Elf Village
336.0555,False,CardSpawn,Map1,village,-63.25002,0.188385,389.7499,Card/Scene/C_Elf Village
336.0888,False,CardSpawn,Map1,village,54.24998,0.1766915,400.7499,Card/Scene/C_Elf Village
336.1221,False,CardSpawn,Map1,village,-35.25002,0.1766915,407.2499,Card/Scene/C_Elf Village
336.1555,False,CardSpawn,Map1,village,-62.50002,0.188385,383.9999,Card/Scene/C_Elf Village
336.1888,False,CardSpawn,Map1,village,4.749977,0.1766915,398.2499,Card/Scene/C_Elf Village
336.2221,False,CardSpawn,Map1,village,-27.25002,0.1766915,397.9999,Card/Scene/C_Elf Village
336.2554,False,CardSpawn,Map1,village,51.24998,0.188385,403.4999,Card/Scene/C_Elf Village
336.2888,False,CardSpawn,Map1,village,-39.25002,0.1766915,404.2499,Card/Scene/C_Elf Village
336.3221,False,CardSpawn,Map1,village,-26.75002,0.1766915,388.2499,Card/Scene/C_Elf Village
336.3554,False,CardSpawn,Map1,village,48.74998,0.188385,381.7499,Card/Scene/C_Elf Village
