timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
0,False,GameStart,Map1,Null,0,0,0,Null
0.12,False,CardSpawn,Map1,Apple,-8.044,0.140128,1.31,Card/Food/C_Apple
0.12,False,CardSpawn,Map1,Lumberjack,-0.426,0.190128,1.25,Card/Villager/C_Lumberjack
0.12,False,CardSpawn,Map1,Vagrant,-4.84,0.190128,1.25,Card/Villager/C_Vagrant
0.12,False,CardSpawn,Map1,Village,5.77,0.09212804,114.12,Card/C_Settlement
1.103773,False,CardSpawn,Map1,Forest,5.22,0.65214,2.2,Card/Nature/C_Forest
1.103773,False,CardSpawn,Map1,Mountain,4.53,0.03487583,-3.01,Card/Nature/C_Mountain
1.103773,False,CardSpawn,Map1,Logging Axe,-1.759,0.32114,1.3,Card/Tool/C_Logging Axe
1.103773,False,CardSpawn,Map1,Mining Pickaxe,2.6,0.32114,-1.51,Card/Tool/C_StonePickaxe
3.240955,False,CardSpawn,Map1,Tree,4.125,0.036228,2.625,Card/Nature/C_Tree
3.240955,False,CardSpawn,Map1,Rock,3.375,0.036228,-2.625,Card/Nature/C_Rock
6.628196,False,CardMergeOrder,Map1,Apple,-8.044,0.4916966,1.31,Card/Food/C_Apple
6.628196,False,CardMergeOrder,Map1,Vagrant,-4.84,0.4911436,1.25,Card/Villager/C_Vagrant
9.742351,False,CardSpawn,Map1,Villager,-6.442,0.4914201,1.28,Card/Villager/C_Villager
9.867486,False,CardDestroyed,Map1,Apple,-6.442,0.4914201,1.28,Card/Food/C_Apple
9.867486,False,CardDestroyed,Map1,Vagrant,-6.442,0.4914201,1.28,Card/Villager/C_Vagrant
11.3484,False,CardMergeOrder,Map1,Logging Axe,-4.655756,0.4819054,0.9662976,Card/Tool/C_Logging Axe
11.3484,False,CardMergeOrder,Map1,Villager,-6.441999,0.4819053,1.28,Card/Villager/C_Villager
14.46023,False,CardSpawn,Map1,Lumberjack,-5.548878,0.4819053,1.123149,Card/Villager/C_Lumberjack
14.57612,False,CardDestroyed,Map1,Logging Axe,-5.548878,0.4819053,1.123149,Card/Tool/C_Logging Axe
14.57612,False,CardDestroyed,Map1,Villager,-5.548878,0.4819053,1.123149,Card/Villager/C_Villager
17.76392,False,CardSpawn,Map1,Villager,0.6663483,0.2349046,-0.972958,Card/Villager/C_Villager
17.86177,False,CardSpawn,Map1,Logging Axe,0.5108829,0.2239181,-1.181672,Card/Tool/C_Logging Axe
17.87224,False,CardDestroyed,Map1,Lumberjack,0.5256221,0.035,-1.025115,Card/Villager/C_Lumberjack
