timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
5.414998,False,GameStart,Map1,Null,0,0,0,Null
5.434998,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
5.434998,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
5.434998,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
5.434998,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
5.434998,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
5.434998,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
5.434998,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
5.434998,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
11.95083,False,CardSpawn,Map1,village,46.39946,0.1766915,172.8473,Card/Scene/C_Human Captal
11.97856,False,CardSpawn,Map1,village,-28.00002,0.188228,140.5,Card/Scene/C_Orc Captal
12.01123,False,CardSpawn,Map1,village,-2.547993,0.188385,222.4659,Card/Scene/C_Elf Captal
12.04908,False,CardSpawn,Map1,village,47.74998,0.1766915,160.75,Card/Scene/C_Human Villager
12.09302,False,CardSpawn,Map1,village,37.74998,0.1766915,181,Card/Scene/C_Human Villager
12.12197,False,CardSpawn,Map1,village,39.49998,0.1766915,185.75,Card/Scene/C_Human Villager
12.15572,False,CardSpawn,Map1,village,54.99998,0.188228,175.5,Card/Scene/C_Human Villager
12.18825,False,CardSpawn,Map1,village,28.74998,0.188385,162.75,Card/Scene/C_Human Villager
12.22214,False,CardSpawn,Map1,village,39.74998,0.1766915,176,Card/Scene/C_Human Villager
12.25622,False,CardSpawn,Map1,village,64.49998,0.188228,155,Card/Scene/C_Human Villager
12.28992,False,CardSpawn,Map1,village,60.99998,0.188385,172.25,Card/Scene/C_Human Villager
12.32217,False,CardSpawn,Map1,village,52.99998,0.1766915,168.25,Card/Scene/C_Human Villager
12.35549,False,CardSpawn,Map1,village,59.99998,0.188228,158.25,Card/Scene/C_Human Villager
12.38935,False,CardSpawn,Map1,village,47.74998,0.188385,163.5,Card/Scene/C_Human Villager
12.42102,False,CardSpawn,Map1,village,46.49998,0.1766915,176,Card/Scene/C_Human Villager
12.45912,False,CardSpawn,Map1,village,26.99998,0.188228,156,Card/Scene/C_Human Villager
12.4892,False,CardSpawn,Map1,village,59.24998,0.188385,168.75,Card/Scene/C_Human Villager
12.52236,False,CardSpawn,Map1,village,28.99998,0.1766915,173,Card/Scene/C_Human Villager
