timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
11.7405,False,GameStart,Map1,Null,0,0,0,Null
11.7605,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
11.7605,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
11.7605,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
11.7605,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
11.7605,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
11.7605,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
11.7605,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
11.7605,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
16.95172,False,CardSpawn,Map1,village,46.39946,0.188385,172.8473,Card/Scene/C_Human Captal
16.98505,False,CardSpawn,Map1,village,-41.78082,0.1766915,142.5054,Card/Scene/C_Orc Captal
17.01839,False,CardSpawn,Map1,village,38.99998,0.188228,223,Card/Scene/C_Elf Captal
17.05172,False,CardSpawn,Map1,village,51.99998,0.188385,165.5,Card/Scene/C_Human Villager
17.08506,False,CardSpawn,Map1,village,42.24998,0.1766915,179,Card/Scene/C_Human Villager
17.11839,False,CardSpawn,Map1,village,61.99998,0.188228,157.75,Card/Scene/C_Human Villager
17.15172,False,CardSpawn,Map1,village,55.74998,0.188385,179,Card/Scene/C_Human Villager
17.18506,False,CardSpawn,Map1,village,67.99998,0.1766915,175,Card/Scene/C_Human Villager
17.21839,False,CardSpawn,Map1,village,44.99998,0.188228,170,Card/Scene/C_Human Villager
17.25175,False,CardSpawn,Map1,village,19.99998,0.188385,172.25,Card/Scene/C_Human Villager
17.28508,False,CardSpawn,Map1,village,40.99998,0.1766915,158.5,Card/Scene/C_Human Villager
17.31842,False,CardSpawn,Map1,village,46.99998,0.188228,181,Card/Scene/C_Human Villager
17.35175,False,CardSpawn,Map1,village,46.74998,0.188385,187.25,Card/Scene/C_Human Villager
17.38508,False,CardSpawn,Map1,village,69.74998,0.1766915,188.25,Card/Scene/C_Human Villager
