timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
6.976947,False,GameStart,Map1,Null,0,0,0,Null
6.996947,False,CardSpawn,Map1,Apple Tree,4.06,0.08114969,0.82,Card/Nature/C_Tree
6.996947,False,CardSpawn,Map1,Forest,4.875002,0.08099877,2.625,Card/Nature/C_Forest
6.996947,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
6.996947,False,CardSpawn,Map1,Forest,3.625002,0.08099877,4.375,Card/Nature/C_Forest
6.996947,False,CardSpawn,Map1,Mountain,7.125,0.08099877,-1.575,Card/Nature/C_Mountain
6.996947,False,CardSpawn,Map1,Mountain,4.875001,0.08099876,-3.674999,Card/Nature/C_Mountain
6.996947,False,CardSpawn,Map1,Copper Mine,7.875,0.08099876,-3.674999,Card/Nature/C_Copper Mine
6.996947,False,CardSpawn,Map1,Forest,7.125,0.08114969,3.674999,Card/Nature/C_Forest
13.76651,False,CardSpawn,Map1,village,60.99998,0.1766915,174.75,Card/Scene/C_Human Captal
13.79853,False,CardSpawn,Map1,village,-57.00002,0.188228,144.75,Card/Scene/C_Orc Captal
13.83187,False,CardSpawn,Map1,village,38.99998,0.188385,223,Card/Scene/C_Elf Captal
13.86392,False,CardSpawn,Map1,village,46.49998,0.1766915,189,Card/Scene/C_Human Villager
13.8968,False,CardSpawn,Map1,village,28.24998,0.188228,168,Card/Scene/C_Human Villager
13.93407,False,CardSpawn,Map1,village,41.74998,0.188385,168.75,Card/Scene/C_Human Villager
13.9632,False,CardSpawn,Map1,village,57.74998,0.1766915,184,Card/Scene/C_Human Villager
13.99805,False,CardSpawn,Map1,village,69.74998,0.188228,164.75,Card/Scene/C_Human Villager
14.03138,False,CardSpawn,Map1,village,60.99998,0.188385,180.75,Card/Scene/C_Human Villager
14.06496,False,CardSpawn,Map1,village,65.49998,0.1766915,160.5,Card/Scene/C_Human Villager
14.09966,False,CardSpawn,Map1,village,19.74998,0.188228,169.5,Card/Scene/C_Human Villager
14.13433,False,CardSpawn,Map1,village,55.99998,0.188385,174.25,Card/Scene/C_Human Villager
14.16439,False,CardSpawn,Map1,village,41.99998,0.1766915,181.5,Card/Scene/C_Human Villager
14.19777,False,CardSpawn,Map1,village,46.49998,0.188228,168.25,Card/Scene/C_Human Villager
14.23273,False,CardSpawn,Map1,village,57.24998,0.188385,172,Card/Scene/C_Human Villager
14.2649,False,CardSpawn,Map1,village,26.74998,0.1766915,159.5,Card/Scene/C_Human Villager
14.29765,False,CardSpawn,Map1,village,66.74998,0.188228,170,Card/Scene/C_Human Villager
14.33142,False,CardSpawn,Map1,village,33.99998,0.188385,183,Card/Scene/C_Human Villager
14.36476,False,CardSpawn,Map1,village,69.99998,0.1766915,177.5,Card/Scene/C_Human Villager
14.39818,False,CardSpawn,Map1,village,-45.50002,0.188228,155.75,Card/Scene/C_Orc Village
