timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
19.24056,False,GameStart,Map1,Null,0,0,0,Null
19.26056,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
19.26056,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
19.26056,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
19.26056,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
19.26056,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
19.26056,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
19.26056,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
19.26056,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
25.89618,False,CardSpawn,Map1,village,31.74998,0.188228,170.75,Card/Scene/C_Human Captal
25.92874,False,CardSpawn,Map1,village,-28.00002,0.188385,140.5,Card/Scene/C_Orc Captal
25.96094,False,CardSpawn,Map1,village,-40.25002,0.1766915,222,Card/Scene/C_Elf Captal
25.99404,False,CardSpawn,Map1,village,41.74998,0.188228,173.5,Card/Scene/C_Human Villager
26.02657,False,CardSpawn,Map1,village,49.74998,0.188385,171.25,Card/Scene/C_Human Villager
26.06095,False,CardSpawn,Map1,village,50.99998,0.1766915,179,Card/Scene/C_Human Villager
26.09617,False,CardSpawn,Map1,village,70.24998,0.188228,184.25,Card/Scene/C_Human Villager
26.12755,False,CardSpawn,Map1,village,51.49998,0.188385,188.5,Card/Scene/C_Human Villager
26.161,False,CardSpawn,Map1,village,30.49998,0.1766915,155.5,Card/Scene/C_Human Villager
26.19426,False,CardSpawn,Map1,village,69.49998,0.188228,168.75,Card/Scene/C_Human Villager
26.22687,False,CardSpawn,Map1,village,61.24998,0.188385,189.75,Card/Scene/C_Human Villager
26.26064,False,CardSpawn,Map1,village,16.99998,0.1766915,168.25,Card/Scene/C_Human Villager
26.29349,False,CardSpawn,Map1,village,35.99998,0.188228,186.25,Card/Scene/C_Human Villager
26.32792,False,CardSpawn,Map1,village,30.74998,0.188385,180.75,Card/Scene/C_Human Villager
26.36066,False,CardSpawn,Map1,village,57.99998,0.1766915,158.25,Card/Scene/C_Human Villager
26.39669,False,CardSpawn,Map1,village,21.74998,0.188228,161.75,Card/Scene/C_Human Villager
26.42804,False,CardSpawn,Map1,village,51.99998,0.188385,182,Card/Scene/C_Human Villager
26.46246,False,CardSpawn,Map1,village,67.24998,0.1766915,170.25,Card/Scene/C_Human Villager
26.4951,False,CardSpawn,Map1,village,60.49998,0.188228,185.5,Card/Scene/C_Human Villager
26.52933,False,CardSpawn,Map1,village,-40.25002,0.188385,150.25,Card/Scene/C_Orc Village
26.56505,False,CardSpawn,Map1,village,-21.75002,0.1766915,124.25,Card/Scene/C_Orc Village
26.59629,False,CardSpawn,Map1,village,-19.00002,0.188228,143.25,Card/Scene/C_Orc Village
26.6306,False,CardSpawn,Map1,village,-21.50002,0.188385,107,Card/Scene/C_Orc Village
26.66406,False,CardSpawn,Map1,village,-28.00002,0.1766915,171.75,Card/Scene/C_Orc Village
26.70231,False,CardSpawn,Map1,village,-35.50002,0.1766915,136,Card/Scene/C_Orc Village
26.73083,False,CardSpawn,Map1,village,-20.50002,0.188385,176.25,Card/Scene/C_Orc Village
26.76664,False,CardSpawn,Map1,village,-22.75002,0.1766915,127.75,Card/Scene/C_Orc Village
26.80193,False,CardSpawn,Map1,village,-17.00002,0.1766915,134.5,Card/Scene/C_Orc Village
26.84388,False,CardSpawn,Map1,village,-55.50002,0.1770022,152.25,Card/Scene/C_Orc Village
26.87007,False,CardSpawn,Map1,village,-43.00002,0.1766915,151.25,Card/Scene/C_Orc Village
26.90631,False,CardSpawn,Map1,village,-38.50002,0.1766915,125.5,Card/Scene/C_Orc Village
26.93988,False,CardSpawn,Map1,village,-36.00002,0.188228,141.75,Card/Scene/C_Orc Village
26.97289,False,CardSpawn,Map1,village,-32.75002,0.188385,118.25,Card/Scene/C_Orc Village
27.00798,False,CardSpawn,Map1,village,-37.50002,0.1766915,133.25,Card/Scene/C_Orc Village
27.03972,False,CardSpawn,Map1,village,-15.00002,0.188228,131.5,Card/Scene/C_Orc Village
27.07291,False,CardSpawn,Map1,village,-52.75002,0.188385,155.5,Card/Scene/C_Orc Village
27.10558,False,CardSpawn,Map1,village,-27.00002,0.1766915,143.5,Card/Scene/C_Orc Village
27.14001,False,CardSpawn,Map1,village,-32.25002,0.1766915,171.25,Card/Scene/C_Orc Village
27.17711,False,CardSpawn,Map1,village,-30.75002,0.188228,175.5,Card/Scene/C_Orc Village
27.2058,False,CardSpawn,Map1,village,-19.25002,0.188385,147,Card/Scene/C_Orc Village
27.24049,False,CardSpawn,Map1,village,-35.00002,0.1766915,113.75,Card/Scene/C_Orc Village
27.27205,False,CardSpawn,Map1,village,-40.25002,0.188385,185.75,Card/Scene/C_Orc Village
27.30628,False,CardSpawn,Map1,village,-32.50002,0.1766915,146.5,Card/Scene/C_Orc Village
27.33909,False,CardSpawn,Map1,village,-24.75002,0.188228,135.75,Card/Scene/C_Orc Village
27.37429,False,CardSpawn,Map1,village,-18.25002,0.188385,139.25,Card/Scene/C_Orc Village
27.41117,False,CardSpawn,Map1,village,-34.00002,0.1766915,132.25,Card/Scene/C_Orc Village
27.44272,False,CardSpawn,Map1,village,-67.00002,0.1766915,134.75,Card/Scene/C_Orc Village
27.47444,False,CardSpawn,Map1,village,-57.25002,0.188385,155.5,Card/Scene/C_Orc Village
27.50957,False,CardSpawn,Map1,village,-64.25002,0.1766915,113,Card/Scene/C_Orc Village
27.54241,False,CardSpawn,Map1,village,23.99998,0.1766915,226.25,Card/Scene/C_Elf Village
27.57703,False,CardSpawn,Map1,village,55.24998,0.188228,206.25,Card/Scene/C_Elf Village
27.61098,False,CardSpawn,Map1,village,-4.000023,0.188385,211.25,Card/Scene/C_Elf Village
27.64855,False,CardSpawn,Map1,village,20.49998,0.1766915,222.75,Card/Scene/C_Elf Village
27.67372,False,CardSpawn,Map1,village,-5.500023,0.188385,221,Card/Scene/C_Elf Village
27.71001,False,CardSpawn,Map1,village,33.24998,0.1766915,201.25,Card/Scene/C_Elf Village
27.74253,False,CardSpawn,Map1,village,45.99998,0.1766915,214,Card/Scene/C_Elf Village
27.77296,False,CardSpawn,Map1,village,45.24998,0.188385,201,Card/Scene/C_Elf Village
27.80741,False,CardSpawn,Map1,village,-42.00002,0.1766915,215.5,Card/Scene/C_Elf Village
27.84159,False,CardSpawn,Map1,village,14.74998,0.1766915,218,Card/Scene/C_Elf Village
27.87495,False,CardSpawn,Map1,village,-79.00002,0.188228,210.75,Card/Scene/C_Elf Village
27.90747,False,CardSpawn,Map1,village,66.74998,0.188385,208.75,Card/Scene/C_Elf Village
