timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
0,False,GameStart,Map1,Null,0,0,0,Null
4.80712,False,CardSpawn,Map1,Wood,0.9527555,0.386385,0.7757915,Card/Material/C_Wood
5.125333,False,CardSpawn,Map1,Wood,0.9166142,0.4746915,1.904972,Card/Material/C_Wood
5.206968,False,CardSpawn,Map1,Wood,0.169182,0.386385,2.2621,Card/Material/C_Wood
5.376374,False,CardSpawn,Map1,Wood,-1.4177,0.296076,2.046604,Card/Material/C_Wood
5.561117,False,CardSpawn,Map1,Wood,-1.791225,0.386385,1.061488,Card/Material/C_Wood
5.747396,False,CardSpawn,Map1,Wood,-0.9330243,0.386385,0.2856987,Card/Material/C_Wood
30.72512,False,CardSpawn,Map1,Wood,1.712328,0.386385,-1.084932,Card/Material/C_Wood
30.82524,False,CardSpawn,Map1,Stone,1.067581,0.386385,-1.161928,Card/Material/C_Stone
30.92715,False,CardSpawn,Map1,Wood,-1.326461,0.386385,-1.161182,Card/Material/C_Wood
31.03699,False,CardSpawn,Map1,Stone,-1.175191,0.296076,-1.505688,Card/Material/C_Stone
31.13959,False,CardSpawn,Map1,Wood,-1.275571,0.2941545,-1.90247,Card/Material/C_Wood
31.20942,False,CardSpawn,Map1,Stone,1.49593,0.386385,-2.916492,Card/Material/C_Stone
31.30361,False,CardSpawn,Map1,Wood,0.323934,0.386385,-2.725405,Card/Material/C_Wood
31.37631,False,CardSpawn,Map1,Stone,-2.206146,0.2941545,-1.693361,Card/Material/C_Stone
31.48382,False,CardSpawn,Map1,Wood,-1.337413,0.386385,-1.108095,Card/Material/C_Wood
31.54549,False,CardSpawn,Map1,Stone,-0.6709219,0.386385,-1.173127,Card/Material/C_Stone
31.71146,False,CardSpawn,Map1,Stone,-4.678822,0.2941545,0.2568326,Card/Material/C_Stone
31.78827,False,CardSpawn,Map1,Wood,-2.870784,0.386385,0.1552205,Card/Material/C_Wood
31.88353,False,CardSpawn,Map1,Stone,-3.518997,0.386385,-1.003295,Card/Material/C_Stone
32.02162,False,CardSpawn,Map1,Stone,-3.610915,0.3825803,-0.144762,Card/Material/C_Stone
32.05474,False,CardSpawn,Map1,Wood,-2.204005,0.2941545,-0.0170784,Card/Material/C_Wood
48.67319,False,CardSpawn,Map1,Copper Ingot,43.78008,0.386385,-2.522927,Card/Product/C_CopperIngot
65.00461,False,CardSpawn,Map1,Wood,-3.000623,0.386385,-3.373646,Card/Material/C_Wood
65.10544,False,CardSpawn,Map1,Stone,-3.328568,0.2941545,-3.39607,Card/Material/C_Stone
65.24167,False,CardSpawn,Map1,Wood,-4.958049,0.386385,-3.146887,Card/Material/C_Wood
65.3194,False,CardSpawn,Map1,Stone,-3.641809,0.296076,-2.845074,Card/Material/C_Stone
65.4234,False,CardSpawn,Map1,Wood,-1.760985,0.386385,-2.950464,Card/Material/C_Wood
65.52338,False,CardSpawn,Map1,Stone,-2.061018,0.386385,-2.985378,Card/Material/C_Stone
65.62221,False,CardSpawn,Map1,Wood,-3.187369,0.386385,-2.726817,Card/Material/C_Wood
65.72542,False,CardSpawn,Map1,Stone,-2.451816,0.386385,-2.786101,Card/Material/C_Stone
65.82574,False,CardSpawn,Map1,Wood,-1.903673,0.386385,-3.226776,Card/Material/C_Wood
65.94543,False,CardSpawn,Map1,Stone,-2.040986,0.386385,-3.440782,Card/Material/C_Stone
66.04716,False,CardSpawn,Map1,Wood,-2.883854,0.386385,-3.215401,Card/Material/C_Wood
66.11155,False,CardSpawn,Map1,Stone,-3.424015,0.296076,-2.903745,Card/Material/C_Stone
66.22834,False,CardSpawn,Map1,Wood,-3.510805,0.386385,-2.413502,Card/Material/C_Wood
66.29248,False,CardSpawn,Map1,Stone,-4.235412,0.296076,-1.760339,Card/Material/C_Stone
66.42951,False,CardSpawn,Map1,Wood,-6.461269,0.386385,-0.566767,Card/Material/C_Wood
66.4829,False,CardSpawn,Map1,Stone,-5.96113,0.386385,-1.459528,Card/Material/C_Stone
66.59493,False,CardSpawn,Map1,Wood,-3.690768,0.296076,-2.82152,Card/Material/C_Wood
66.6689,False,CardSpawn,Map1,Stone,-4.747868,0.386385,-2.691099,Card/Material/C_Stone
