timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
9.181421,False,GameStart,Map1,Null,0,0,0,Null
9.201422,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
9.201422,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
9.201422,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
9.201422,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
9.201422,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
9.201422,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
9.201422,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
9.201422,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
15.79646,False,CardSpawn,Map1,village,31.74998,0.188228,170.75,Card/Scene/C_Human Captal
15.82778,False,CardSpawn,Map1,village,-41.78082,0.188385,142.5054,Card/Scene/C_Orc Captal
15.86213,False,CardSpawn,Map1,village,38.99998,0.1766915,223,Card/Scene/C_Elf Captal
15.89612,False,CardSpawn,Map1,village,47.24998,0.188228,170.75,Card/Scene/C_Human Villager
15.92868,False,CardSpawn,Map1,village,68.24998,0.188385,183.5,Card/Scene/C_Human Villager
15.96337,False,CardSpawn,Map1,village,40.24998,0.1766915,178,Card/Scene/C_Human Villager
15.99793,False,CardSpawn,Map1,village,28.99998,0.188228,186.25,Card/Scene/C_Human Villager
16.02924,False,CardSpawn,Map1,village,23.74998,0.188385,165.5,Card/Scene/C_Human Villager
16.06196,False,CardSpawn,Map1,village,38.99998,0.1766915,186.5,Card/Scene/C_Human Villager
16.09544,False,CardSpawn,Map1,village,49.24998,0.188228,177.5,Card/Scene/C_Human Villager
16.12865,False,CardSpawn,Map1,village,52.74998,0.188385,182.25,Card/Scene/C_Human Villager
16.1667,False,CardSpawn,Map1,village,59.99998,0.1766915,172.5,Card/Scene/C_Human Villager
16.19509,False,CardSpawn,Map1,village,19.49998,0.188228,154.5,Card/Scene/C_Human Villager
16.22949,False,CardSpawn,Map1,village,40.24998,0.188385,171.25,Card/Scene/C_Human Villager
16.26178,False,CardSpawn,Map1,village,63.24998,0.1766915,174,Card/Scene/C_Human Villager
16.29521,False,CardSpawn,Map1,village,71.49998,0.188228,177.5,Card/Scene/C_Human Villager
16.32989,False,CardSpawn,Map1,village,33.74998,0.188385,163.75,Card/Scene/C_Human Villager
16.36279,False,CardSpawn,Map1,village,64.49998,0.1766915,159.25,Card/Scene/C_Human Villager
16.39568,False,CardSpawn,Map1,village,23.74998,0.188228,179.75,Card/Scene/C_Human Villager
16.42865,False,CardSpawn,Map1,village,-35.75002,0.188385,181.25,Card/Scene/C_Orc Village
16.46388,False,CardSpawn,Map1,village,-36.75002,0.1766915,131.5,Card/Scene/C_Orc Village
16.4959,False,CardSpawn,Map1,village,-23.75002,0.188228,121.25,Card/Scene/C_Orc Village
16.52955,False,CardSpawn,Map1,village,-25.00002,0.188385,149.5,Card/Scene/C_Orc Village
16.56214,False,CardSpawn,Map1,village,-36.25002,0.1766915,186,Card/Scene/C_Orc Village
16.5957,False,CardSpawn,Map1,village,-48.00002,0.188228,152.5,Card/Scene/C_Orc Village
16.633,False,CardSpawn,Map1,village,-21.50002,0.188385,124,Card/Scene/C_Orc Village
16.66401,False,CardSpawn,Map1,village,-42.50002,0.1766915,174,Card/Scene/C_Orc Village
16.69619,False,CardSpawn,Map1,village,-47.50002,0.188228,156.75,Card/Scene/C_Orc Village
16.72873,False,CardSpawn,Map1,village,-23.00002,0.188385,139,Card/Scene/C_Orc Village
16.76507,False,CardSpawn,Map1,village,-8.250023,0.1766915,127.25,Card/Scene/C_Orc Village
16.79778,False,CardSpawn,Map1,village,-19.75002,0.188385,175,Card/Scene/C_Orc Village
16.83032,False,CardSpawn,Map1,village,-32.00002,0.1766915,120.5,Card/Scene/C_Orc Village
16.86542,False,CardSpawn,Map1,village,-50.00002,0.1766915,156.5,Card/Scene/C_Orc Village
