timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
5.703131,False,GameStart,Map1,Null,0,0,0,Null
5.723131,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
5.723131,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
5.723131,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
5.723131,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
5.723131,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
5.723131,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
5.723131,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
5.723131,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
12.35902,False,CardSpawn,Map1,village,31.74998,0.188228,170.75,Card/Scene/C_Human Captal
12.39195,False,CardSpawn,Map1,village,-28.00002,0.188385,140.5,Card/Scene/C_Orc Captal
12.42361,False,CardSpawn,Map1,village,38.99998,0.1766915,223,Card/Scene/C_Elf Captal
12.45601,False,CardSpawn,Map1,village,53.99998,0.188228,166.75,Card/Scene/C_Human Villager
12.50493,False,CardSpawn,Map1,village,30.24998,0.1770022,180,Card/Scene/C_Human Villager
12.53505,False,CardSpawn,Map1,village,66.74998,0.176456,178.5,Card/Scene/C_Human Villager
12.57177,False,CardSpawn,Map1,village,29.99998,0.188385,188.25,Card/Scene/C_Human Villager
12.59952,False,CardSpawn,Map1,village,42.49998,0.188228,175,Card/Scene/C_Human Villager
12.63391,False,CardSpawn,Map1,village,24.99998,0.188228,171,Card/Scene/C_Human Villager
12.66726,False,CardSpawn,Map1,village,59.74998,0.188385,156.5,Card/Scene/C_Human Villager
12.69933,False,CardSpawn,Map1,village,25.74998,0.188228,164.5,Card/Scene/C_Human Villager
12.73402,False,CardSpawn,Map1,village,55.49998,0.188228,169,Card/Scene/C_Human Villager
12.76642,False,CardSpawn,Map1,village,50.74998,0.188385,188.25,Card/Scene/C_Human Villager
12.80353,False,CardSpawn,Map1,village,71.49998,0.1766915,167,Card/Scene/C_Human Villager
12.83234,False,CardSpawn,Map1,village,44.49998,0.188385,170.75,Card/Scene/C_Human Villager
12.86873,False,CardSpawn,Map1,village,62.74998,0.1766915,172.5,Card/Scene/C_Human Villager
12.90026,False,CardSpawn,Map1,village,19.49998,0.1766915,183.5,Card/Scene/C_Human Villager
12.93294,False,CardSpawn,Map1,village,21.24998,0.188228,168,Card/Scene/C_Human Villager
12.96811,False,CardSpawn,Map1,village,63.99998,0.188385,182,Card/Scene/C_Human Villager
13.00089,False,CardSpawn,Map1,village,-31.25002,0.1766915,129.25,Card/Scene/C_Orc Village
13.03847,False,CardSpawn,Map1,village,-24.50002,0.188228,146.75,Card/Scene/C_Orc Village
13.06716,False,CardSpawn,Map1,village,-45.75002,0.188385,138.25,Card/Scene/C_Orc Village
13.10194,False,CardSpawn,Map1,village,-19.00002,0.1766915,135,Card/Scene/C_Orc Village
13.136,False,CardSpawn,Map1,village,-14.50002,0.188228,136.5,Card/Scene/C_Orc Village
13.16625,False,CardSpawn,Map1,village,-16.00002,0.188385,142,Card/Scene/C_Orc Village
13.20111,False,CardSpawn,Map1,village,-22.00002,0.1766915,110.5,Card/Scene/C_Orc Village
13.23373,False,CardSpawn,Map1,village,-78.00002,0.188228,137,Card/Scene/C_Orc Village
13.26789,False,CardSpawn,Map1,village,-41.00002,0.188385,146.25,Card/Scene/C_Orc Village
13.30093,False,CardSpawn,Map1,village,-32.00002,0.1766915,124,Card/Scene/C_Orc Village
13.33597,False,CardSpawn,Map1,village,-28.25002,0.188228,110.75,Card/Scene/C_Orc Village
13.36713,False,CardSpawn,Map1,village,-10.50002,0.188385,124.25,Card/Scene/C_Orc Village
13.4004,False,CardSpawn,Map1,village,-55.50002,0.1766915,151.5,Card/Scene/C_Orc Village
13.43404,False,CardSpawn,Map1,village,-33.00002,0.188228,133.5,Card/Scene/C_Orc Village
13.46755,False,CardSpawn,Map1,village,-9.500023,0.188385,132.5,Card/Scene/C_Orc Village
13.50425,False,CardSpawn,Map1,village,-36.50002,0.1766915,181.75,Card/Scene/C_Orc Village
13.53473,False,CardSpawn,Map1,village,-54.25002,0.188228,160.25,Card/Scene/C_Orc Village
13.56858,False,CardSpawn,Map1,village,-43.50002,0.188385,146.75,Card/Scene/C_Orc Village
13.60171,False,CardSpawn,Map1,village,-38.25002,0.1766915,127.5,Card/Scene/C_Orc Village
13.63744,False,CardSpawn,Map1,village,-32.50002,0.188228,141.75,Card/Scene/C_Orc Village
13.66771,False,CardSpawn,Map1,village,-31.75002,0.188385,117.75,Card/Scene/C_Orc Village
13.70057,False,CardSpawn,Map1,village,-16.75002,0.1766915,138.75,Card/Scene/C_Orc Village
13.73467,False,CardSpawn,Map1,village,-47.50002,0.188228,132.25,Card/Scene/C_Orc Village
13.76787,False,CardSpawn,Map1,village,-47.25002,0.188385,134.75,Card/Scene/C_Orc Village
13.80371,False,CardSpawn,Map1,village,-37.00002,0.1766915,156,Card/Scene/C_Orc Village
13.83856,False,CardSpawn,Map1,village,-43.25002,0.188228,121.5,Card/Scene/C_Orc Village
13.87454,False,CardSpawn,Map1,village,-17.00002,0.188385,117.5,Card/Scene/C_Orc Village
13.90224,False,CardSpawn,Map1,village,-40.25002,0.1766915,185.25,Card/Scene/C_Orc Village
13.94256,False,CardSpawn,Map1,village,-46.25002,0.1766915,161.5,Card/Scene/C_Orc Village
13.97613,False,CardSpawn,Map1,village,-15.75002,0.188228,120.5,Card/Scene/C_Orc Village
14.0092,False,CardSpawn,Map1,village,-8.500023,0.188385,209.5,Card/Scene/C_Elf Village
14.04204,False,CardSpawn,Map1,village,9.249977,0.1766915,225.5,Card/Scene/C_Elf Village
14.07523,False,CardSpawn,Map1,village,23.49998,0.188228,227.5,Card/Scene/C_Elf Village
