timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
9.928939,False,GameStart,Map1,Null,0,0,0,Null
9.948938,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
9.948938,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
9.948938,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
9.948938,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
9.948938,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
9.948938,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
9.948938,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
9.948938,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
16.50632,False,CardSpawn,Map1,village,46.39946,0.1766915,172.8473,Card/Scene/C_Human Captal
16.53933,False,CardSpawn,Map1,village,-41.78082,0.188385,142.5054,Card/Scene/C_Orc Captal
16.57018,False,CardSpawn,Map1,village,-40.25002,0.1766915,222,Card/Scene/C_Elf Captal
16.60232,False,CardSpawn,Map1,village,52.99998,0.1766915,181.5,Card/Scene/C_Human Villager
16.63573,False,CardSpawn,Map1,village,41.49998,0.188228,180.5,Card/Scene/C_Human Villager
16.66847,False,CardSpawn,Map1,village,56.24998,0.188385,172.75,Card/Scene/C_Human Villager
16.70326,False,CardSpawn,Map1,village,61.24998,0.1766915,168.75,Card/Scene/C_Human Villager
16.7364,False,CardSpawn,Map1,village,62.99998,0.188228,180.5,Card/Scene/C_Human Villager
16.76933,False,CardSpawn,Map1,village,62.49998,0.188385,176,Card/Scene/C_Human Villager
16.80115,False,CardSpawn,Map1,village,55.49998,0.1766915,169.75,Card/Scene/C_Human Villager
