timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
5.647508,False,GameStart,Map1,Null,0,0,0,Null
5.667508,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
5.667508,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
5.667508,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
5.667508,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
5.667508,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
5.667508,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
5.667508,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
5.667508,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
12.19644,False,CardSpawn,Map1,village,31.74998,0.188228,170.75,Card/Scene/C_Human Captal
12.22779,False,CardSpawn,Map1,village,-41.78082,0.188385,142.5054,Card/Scene/C_Orc Captal
12.26122,False,CardSpawn,Map1,village,-2.547993,0.1766915,222.4659,Card/Scene/C_Elf Captal
12.29543,False,CardSpawn,Map1,village,27.99998,0.188228,164.75,Card/Scene/C_Human Villager
12.34094,False,CardSpawn,Map1,village,61.49998,0.1770022,193,Card/Scene/C_Human Villager
12.36895,False,CardSpawn,Map1,village,36.49998,0.1766915,170.75,Card/Scene/C_Human Villager
12.40648,False,CardSpawn,Map1,village,20.99998,0.1766915,181.5,Card/Scene/C_Human Villager
12.43806,False,CardSpawn,Map1,village,52.24998,0.188228,185.75,Card/Scene/C_Human Villager
12.47116,False,CardSpawn,Map1,village,61.24998,0.188385,162.25,Card/Scene/C_Human Villager
12.50486,False,CardSpawn,Map1,village,53.49998,0.1766915,181.25,Card/Scene/C_Human Villager
12.53786,False,CardSpawn,Map1,village,58.99998,0.188228,178,Card/Scene/C_Human Villager
12.57041,False,CardSpawn,Map1,village,47.24998,0.188385,180.25,Card/Scene/C_Human Villager
12.60655,False,CardSpawn,Map1,village,46.24998,0.1766915,185.25,Card/Scene/C_Human Villager
12.63709,False,CardSpawn,Map1,village,68.24998,0.188228,175.25,Card/Scene/C_Human Villager
12.67056,False,CardSpawn,Map1,village,42.99998,0.188385,181,Card/Scene/C_Human Villager
12.70592,False,CardSpawn,Map1,village,22.24998,0.1766915,173,Card/Scene/C_Human Villager
12.73761,False,CardSpawn,Map1,village,49.74998,0.188228,183.25,Card/Scene/C_Human Villager
12.77018,False,CardSpawn,Map1,village,55.49998,0.188385,186.25,Card/Scene/C_Human Villager
