timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
8.678208,False,GameStart,Map1,Null,0,0,0,Null
8.698208,False,CardSpawn,Map1,Apple Tree,4.06,0.08114969,0.82,Card/Nature/C_Tree
8.698208,False,CardSpawn,Map1,Forest,4.875002,0.08099877,2.625,Card/Nature/C_Forest
8.698208,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
8.698208,False,CardSpawn,Map1,Forest,3.625002,0.08099877,4.375,Card/Nature/C_Forest
8.698208,False,CardSpawn,Map1,Mountain,7.125,0.08099877,-1.575,Card/Nature/C_Mountain
8.698208,False,CardSpawn,Map1,Mountain,4.875001,0.08099876,-3.674999,Card/Nature/C_Mountain
8.698208,False,CardSpawn,Map1,Copper Mine,7.875,0.08099876,-3.674999,Card/Nature/C_Copper Mine
8.698208,False,CardSpawn,Map1,Forest,7.125,0.08114969,3.674999,Card/Nature/C_Forest
15.26971,False,CardSpawn,Map1,village,46.39946,0.1766915,172.8473,Card/Scene/C_Human Captal
15.29971,False,CardSpawn,Map1,village,-41.78082,0.188228,142.5054,Card/Scene/C_Orc Captal
15.33301,False,CardSpawn,Map1,village,38.99998,0.188385,223,Card/Scene/C_Elf Captal
15.3654,False,CardSpawn,Map1,village,59.99998,0.1766915,172.5,Card/Scene/C_Human Villager
15.39896,False,CardSpawn,Map1,village,57.99998,0.188228,183.5,Card/Scene/C_Human Villager
15.43219,False,CardSpawn,Map1,village,32.99998,0.188385,174,Card/Scene/C_Human Villager
15.46787,False,CardSpawn,Map1,village,55.99998,0.1766915,177.75,Card/Scene/C_Human Villager
15.49929,False,CardSpawn,Map1,village,53.74998,0.188228,186.75,Card/Scene/C_Human Villager
15.53175,False,CardSpawn,Map1,village,46.49998,0.188385,175.5,Card/Scene/C_Human Villager
15.56578,False,CardSpawn,Map1,village,42.24998,0.1766915,169,Card/Scene/C_Human Villager
15.59881,False,CardSpawn,Map1,village,29.24998,0.188228,165.25,Card/Scene/C_Human Villager
15.63236,False,CardSpawn,Map1,village,38.74998,0.188385,182.5,Card/Scene/C_Human Villager
15.66644,False,CardSpawn,Map1,village,47.74998,0.1766915,162.75,Card/Scene/C_Human Villager
15.70046,False,CardSpawn,Map1,village,62.74998,0.1766915,156.25,Card/Scene/C_Human Villager
15.73179,False,CardSpawn,Map1,village,21.74998,0.188385,165.25,Card/Scene/C_Human Villager
15.7687,False,CardSpawn,Map1,village,38.99998,0.1766915,162,Card/Scene/C_Human Villager
15.79981,False,CardSpawn,Map1,village,51.99998,0.188228,180.5,Card/Scene/C_Human Villager
15.83486,False,CardSpawn,Map1,village,62.49998,0.188385,178.25,Card/Scene/C_Human Villager
15.8674,False,CardSpawn,Map1,village,61.24998,0.1766915,162.75,Card/Scene/C_Human Villager
15.89995,False,CardSpawn,Map1,village,-45.00002,0.188228,156,Card/Scene/C_Orc Village
15.93815,False,CardSpawn,Map1,village,-37.00002,0.188228,149.5,Card/Scene/C_Orc Village
15.96669,False,CardSpawn,Map1,village,-32.75002,0.188385,157.25,Card/Scene/C_Orc Village
16.0006,False,CardSpawn,Map1,village,-46.50002,0.1766915,143.75,Card/Scene/C_Orc Village
16.03101,False,CardSpawn,Map1,village,-44.75002,0.188385,126.75,Card/Scene/C_Orc Village
16.06619,False,CardSpawn,Map1,village,-26.25002,0.1766915,145.75,Card/Scene/C_Orc Village
16.10009,False,CardSpawn,Map1,village,-30.50002,0.1766915,128.5,Card/Scene/C_Orc Village
16.13407,False,CardSpawn,Map1,village,-63.75002,0.188228,131,Card/Scene/C_Orc Village
16.1678,False,CardSpawn,Map1,village,-62.00002,0.188385,163.5,Card/Scene/C_Orc Village
16.20032,False,CardSpawn,Map1,village,-34.25002,0.1766915,119.75,Card/Scene/C_Orc Village
16.23935,False,CardSpawn,Map1,village,-38.75002,0.188228,110.75,Card/Scene/C_Orc Village
16.26859,False,CardSpawn,Map1,village,-55.00002,0.188385,150.5,Card/Scene/C_Orc Village
16.30194,False,CardSpawn,Map1,village,-37.25002,0.1766915,139.75,Card/Scene/C_Orc Village
16.34193,False,CardSpawn,Map1,village,-21.00002,0.1766915,120.75,Card/Scene/C_Orc Village
16.3693,False,CardSpawn,Map1,village,-29.00002,0.188385,132.75,Card/Scene/C_Orc Village
16.40315,False,CardSpawn,Map1,village,-40.75002,0.1766915,170.75,Card/Scene/C_Orc Village
16.43606,False,CardSpawn,Map1,village,-39.25002,0.188385,175.25,Card/Scene/C_Orc Village
16.46791,False,CardSpawn,Map1,village,-44.50002,0.1766915,146.5,Card/Scene/C_Orc Village
16.50097,False,CardSpawn,Map1,village,-47.00002,0.1766915,159.5,Card/Scene/C_Orc Village
16.53166,False,CardSpawn,Map1,village,-23.00002,0.188385,142,Card/Scene/C_Orc Village
16.57221,False,CardSpawn,Map1,village,-37.50002,0.1766915,129.75,Card/Scene/C_Orc Village
16.60158,False,CardSpawn,Map1,village,-42.50002,0.1766915,153,Card/Scene/C_Orc Village
16.63406,False,CardSpawn,Map1,village,-77.75002,0.188228,138.25,Card/Scene/C_Orc Village
16.66683,False,CardSpawn,Map1,village,-27.00002,0.188385,114.25,Card/Scene/C_Orc Village
16.69964,False,CardSpawn,Map1,village,-29.00002,0.188228,143.25,Card/Scene/C_Orc Village
16.73322,False,CardSpawn,Map1,village,-31.00002,0.188385,141,Card/Scene/C_Orc Village
16.76765,False,CardSpawn,Map1,village,-55.50002,0.1766915,146.75,Card/Scene/C_Orc Village
16.80167,False,CardSpawn,Map1,village,-24.00002,0.1766915,176.75,Card/Scene/C_Orc Village
16.83156,False,CardSpawn,Map1,village,-24.50002,0.188385,111.75,Card/Scene/C_Orc Village
16.8697,False,CardSpawn,Map1,village,-46.25002,0.18.678208,False,GameStart,Map1,Null,0,0,0,Null
8.698208,False,CardSpawn,Map1,Apple Tree,4.06,0.08114969,0.82,Card/Nature/C_Tree
8.698208,False,CardSpawn,Map1,Forest,4.875002,0.08099877,2.625,Card/Nature/C_Forest
8.698208,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
8.698208,False,CardSpawn,Map1,Forest,3.625002,0.08099877,4.375,Card/Nature/C_Forest
8.698208,False,CardSpawn,Map1,Mountain,7.125,0.08099877,-1.575,Card/Nature/C_Mountain
8.698208,False,CardSpawn,Map1,Mountain,4.875001,0.08099876,-3.674999,Card/Nature/C_Mountain
8.698208,False,CardSpawn,Map1,Copper Mine,7.875,0.08099876,-3.674999,Card/Nature/C_Copper Mine
8.698208,False,CardSpawn,Map1,Forest,7.125,0.08114969,3.674999,Card/Nature/C_Forest
15.26971,False,CardSpawn,Map1,village,46.39946,0.1766915,172.8473,Card/Scene/C_Human Captal
15.29971,False,CardSpawn,Map1,village,-41.78082,0.188228,142.5054,Card/Scene/C_Orc Captal
15.33301,False,CardSpawn,Map1,village,38.99998,0.188385,223,Card/Scene/C_Elf Captal
15.3654,False,CardSpawn,Map1,village,59.99998,0.1766915,172.5,Card/Scene/C_Human Villager
15.39896,False,CardSpawn,Map1,village,57.99998,0.188228,183.5,Card/Scene/C_Human Villager
15.43219,False,CardSpawn,Map1,village,32.99998,0.188385,174,Card/Scene/C_Human Villager
15.46787,False,CardSpawn,Map1,village,55.99998,0.1766915,177.75,Card/Scene/C_Human Villager
15.49929,False,CardSpawn,Map1,village,53.74998,0.188228,186.75,Card/Scene/C_Human Villager
15.53175,False,CardSpawn,Map1,village,46.49998,0.188385,175.5,Card/Scene/C_Human Villager
15.56578,False,CardSpawn,Map1,village,42.24998,0.1766915,169,Card/Scene/C_Human Villager
15.59881,False,CardSpawn,Map1,village,29.24998,0.188228,165.25,Card/Scene/C_Human Villager
15.63236,False,CardSpawn,Map1,village,38.74998,0.188385,182.5,Card/Scene/C_Human Villager
15.66644,False,CardSpawn,Map1,village,47.74998,0.1766915,162.75,Card/Scene/C_Human Villager
15.70046,False,CardSpawn,Map1,village,62.74998,0.1766915,156.25,Card/Scene/C_Human Villager
15.73179,False,CardSpawn,Map1,village,21.74998,0.188385,165.25,Card/Scene/C_Human Villager
15.7687,False,CardSpawn,Map1,village,38.99998,0.1766915,162,Card/Scene/C_Human Villager
15.79981,False,CardSpawn,Map1,village,51.99998,0.188228,180.5,Card/Scene/C_Human Villager
15.83486,False,CardSpawn,Map1,village,62.49998,0.188385,178.25,Card/Scene/C_Human Villager
15.8674,False,CardSpawn,Map1,village,61.24998,0.1766915,162.75,Card/Scene/C_Human Villager
15.89995,False,CardSpawn,Map1,village,-45.00002,0.188228,156,Card/Scene/C_Orc Village
15.93815,False,CardSpawn,Map1,village,-37.00002,0.188228,149.5,Card/Scene/C_Orc Village
15.96669,False,CardSpawn,Map1,village,-32.75002,0.188385,157.25,Card/Scene/C_Orc Village
16.0006,False,CardSpawn,Map1,village,-46.50002,0.1766915,143.75,Card/Scene/C_Orc Village
16.03101,False,CardSpawn,Map1,village,-44.75002,0.188385,126.75,Card/Scene/C_Orc Village
16.06619,False,CardSpawn,Map1,village,-26.25002,0.1766915,145.75,Card/Scene/C_Orc Village
16.10009,False,CardSpawn,Map1,village,-30.50002,0.1766915,128.5,Card/Scene/C_Orc Village
16.13407,False,CardSpawn,Map1,village,-63.75002,0.188228,131,Card/Scene/C_Orc Village
16.1678,False,CardSpawn,Map1,village,-62.00002,0.188385,163.5,Card/Scene/C_Orc Village
16.20032,False,CardSpawn,Map1,village,-34.25002,0.1766915,119.75,Card/Scene/C_Orc Village
16.23935,False,CardSpawn,Map1,village,-38.75002,0.188228,110.75,Card/Scene/C_Orc Village
16.26859,False,CardSpawn,Map1,village,-55.00002,0.188385,150.5,Card/Scene/C_Orc Village
16.30194,False,CardSpawn,Map1,village,-37.25002,0.1766915,139.75,Card/Scene/C_Orc Village
