timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
29.71764,False,GameStart,Map1,Null,0,0,0,Null
29.73764,False,CardSpawn,Map1,Forest,3.625002,0.08099877,4.375,Card/Nature/C_Forest
29.73764,False,CardSpawn,Map1,Forest,4.875002,0.08099877,2.625,Card/Nature/C_Forest
29.73764,False,CardSpawn,Map1,Mountain,7.125,0.08099877,-1.575,Card/Nature/C_Mountain
29.73764,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
29.73764,False,CardSpawn,Map1,Apple Tree,4.06,0.08114969,0.82,Card/Nature/C_Tree
29.73764,False,CardSpawn,Map1,Mountain,4.875001,0.08099876,-3.674999,Card/Nature/C_Mountain
29.73764,False,CardSpawn,Map1,Copper Mine,7.875,0.08099876,-3.674999,Card/Nature/C_Copper Mine
29.73764,False,CardSpawn,Map1,Forest,7.125,0.08114969,3.674999,Card/Nature/C_Forest
35.37964,False,CardSpawn,Map1,village,31.74998,0.188228,170.75,Card/Scene/C_Human Captal
35.4439,False,CardSpawn,Map1,village,-41.78082,0.1615401,142.5054,Card/Scene/C_Orc Captal
35.46538,False,CardSpawn,Map1,village,-2.547993,0.1766915,222.4659,Card/Scene/C_Elf Captal
35.4988,False,CardSpawn,Map1,village,41.99998,0.188228,169.25,Card/Scene/C_Human Villager
35.53273,False,CardSpawn,Map1,village,22.99998,0.188385,171.75,Card/Scene/C_Human Villager
35.56613,False,CardSpawn,Map1,village,31.74998,0.1766915,176.75,Card/Scene/C_Human Villager
35.59999,False,CardSpawn,Map1,village,20.24998,0.188228,170,Card/Scene/C_Human Villager
35.63392,False,CardSpawn,Map1,village,28.49998,0.188385,173.25,Card/Scene/C_Human Villager
35.66753,False,CardSpawn,Map1,village,57.99998,0.1766915,185,Card/Scene/C_Human Villager
35.70575,False,CardSpawn,Map1,village,40.99998,0.1766915,176.25,Card/Scene/C_Human Villager
35.73939,False,CardSpawn,Map1,village,22.74998,0.188228,168,Card/Scene/C_Human Villager
35.77293,False,CardSpawn,Map1,village,62.74998,0.188385,158.5,Card/Scene/C_Human Villager
35.80666,False,CardSpawn,Map1,village,64.24998,0.1766915,167,Card/Scene/C_Human Villager
35.84062,False,CardSpawn,Map1,village,43.24998,0.1766915,178,Card/Scene/C_Human Villager
35.87458,False,CardSpawn,Map1,village,23.24998,0.188385,158.75,Card/Scene/C_Human Villager
35.90858,False,CardSpawn,Map1,village,35.24998,0.1766915,182.5,Card/Scene/C_Human Villager
35.94191,False,CardSpawn,Map1,village,54.74998,0.1766915,177,Card/Scene/C_Human Villager
35.97576,False,CardSpawn,Map1,village,25.49998,0.188385,161.25,Card/Scene/C_Human Villager
36.00948,False,CardSpawn,Map1,village,37.99998,0.1766915,178,Card/Scene/C_Human Villager
36.0429,False,CardSpawn,Map1,village,-46.50002,0.1766915,154,Card/Scene/C_Orc Village
36.07654,False,CardSpawn,Map1,village,-55.00002,0.188385,138.75,Card/Scene/C_Orc Village
36.11035,False,CardSpawn,Map1,village,-34.75002,0.1766915,135.5,Card/Scene/C_Orc Village
36.14426,False,CardSpawn,Map1,village,-38.25002,0.1766915,123.75,Card/Scene/C_Orc Village
36.17759,False,CardSpawn,Map1,village,-54.25002,0.188228,170,Card/Scene/C_Orc Village
36.21092,False,CardSpawn,Map1,village,-42.50002,0.188385,118.75,Card/Scene/C_Orc Village
