timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
9.600854,False,GameStart,Map1,Null,0,0,0,Null
9.620854,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
9.620854,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
9.620854,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
9.620854,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
9.620854,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
9.620854,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
9.620854,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
9.620854,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
16.1711,False,CardSpawn,Map1,village,46.39946,0.188385,172.8473,Card/Scene/C_Human Captal
16.20979,False,CardSpawn,Map1,village,-41.78082,0.1766915,142.5054,Card/Scene/C_Orc Captal
16.23837,False,CardSpawn,Map1,village,38.99998,0.188228,223,Card/Scene/C_Elf Captal
16.28636,False,CardSpawn,Map1,village,63.49998,0.1770022,155.75,Card/Scene/C_Human Villager
16.31525,False,CardSpawn,Map1,village,39.24998,0.176456,160,Card/Scene/C_Human Villager
16.34824,False,CardSpawn,Map1,village,65.49998,0.188385,174,Card/Scene/C_Human Villager
16.38085,False,CardSpawn,Map1,village,58.99998,0.1766915,161.25,Card/Scene/C_Human Villager
16.41467,False,CardSpawn,Map1,village,42.24998,0.188228,184.25,Card/Scene/C_Human Villager
16.44832,False,CardSpawn,Map1,village,28.99998,0.188385,160,Card/Scene/C_Human Villager
16.48138,False,CardSpawn,Map1,village,51.24998,0.1766915,178.25,Card/Scene/C_Human Villager
16.51697,False,CardSpawn,Map1,village,58.49998,0.188228,184,Card/Scene/C_Human Villager
16.54809,False,CardSpawn,Map1,village,50.49998,0.188385,174.5,Card/Scene/C_Human Villager
16.58215,False,CardSpawn,Map1,village,58.49998,0.1766915,168.75,Card/Scene/C_Human Villager
16.61565,False,CardSpawn,Map1,village,37.49998,0.188228,179.5,Card/Scene/C_Human Villager
16.64845,False,CardSpawn,Map1,village,29.24998,0.188385,173.75,Card/Scene/C_Human Villager
16.68486,False,CardSpawn,Map1,village,43.99998,0.1766915,180.75,Card/Scene/C_Human Villager
16.71612,False,CardSpawn,Map1,village,45.74998,0.188228,178,Card/Scene/C_Human Villager
16.75136,False,CardSpawn,Map1,village,61.49998,0.188385,182.5,Card/Scene/C_Human Villager
16.78163,False,CardSpawn,Map1,village,56.24998,0.1766915,188.75,Card/Scene/C_Human Villager
16.81561,False,CardSpawn,Map1,village,-12.00002,0.188228,117.75,Card/Scene/C_Orc Village
16.84828,False,CardSpawn,Map1,village,-29.50002,0.188385,153.25,Card/Scene/C_Orc Village
16.88291,False,CardSpawn,Map1,village,-25.25002,0.1766915,144,Card/Scene/C_Orc Village
16.91649,False,CardSpawn,Map1,village,-68.25002,0.188228,131.25,Card/Scene/C_Orc Village
16.94833,False,CardSpawn,Map1,village,-30.00002,0.188385,132,Card/Scene/C_Orc Village
16.98342,False,CardSpawn,Map1,village,-36.25002,0.1766915,133,Card/Scene/C_Orc Village
17.01524,False,CardSpawn,Map1,village,-37.00002,0.188228,146.25,Card/Scene/C_Orc Village
17.04897,False,CardSpawn,Map1,village,-35.50002,0.188385,124.25,Card/Scene/C_Orc Village
17.08202,False,CardSpawn,Map1,village,-60.75002,0.1766915,130,Card/Scene/C_Orc Village
17.11477,False,CardSpawn,Map1,village,-56.25002,0.188228,148.25,Card/Scene/C_Orc Village
17.15287,False,CardSpawn,Map1,village,-64.00002,0.188385,124.25,Card/Scene/C_Orc Village
17.18188,False,CardSpawn,Map1,village,-33.50002,0.1766915,141.75,Card/Scene/C_Orc Village
17.21507,False,CardSpawn,Map1,village,-24.50002,0.188228,119,Card/Scene/C_Orc Village
17.2481,False,CardSpawn,Map1,village,-42.00002,0.188385,170.75,Card/Scene/C_Orc Village
17.28457,False,CardSpawn,Map1,village,-23.50002,0.1766915,141,Card/Scene/C_Orc Village
17.31622,False,CardSpawn,Map1,village,-66.75002,0.188228,117,Card/Scene/C_Orc Village
17.34938,False,CardSpawn,Map1,village,-46.75002,0.188385,149.75,Card/Scene/C_Orc Village
17.38243,False,CardSpawn,Map1,village,-28.00002,0.1766915,149,Card/Scene/C_Orc Village
17.41595,False,CardSpawn,Map1,village,-53.25002,0.188228,156.5,Card/Scene/C_Orc Village
17.45411,False,CardSpawn,Map1,village,-26.25002,0.188385,116.25,Card/Scene/C_Orc Village
