timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
18.70562,False,GameStart,Map1,Null,0,0,0,Null
18.72562,False,CardSpawn,Map1,Forest,3.625002,0.07338464,4.375,Card/Nature/C_Forest
18.72562,False,CardSpawn,Map1,Forest,4.875002,0.07322925,2.625,Card/Nature/C_Forest
18.72562,False,CardSpawn,Map1,Mountain,7.125,0.07322925,-1.575,Card/Nature/C_Mountain
18.72562,False,CardSpawn,Map1,Forest,7.875025,0.035,1.575,Card/Nature/C_Forest
18.72562,False,CardSpawn,Map1,Apple Tree,4.06,0.07353556,0.82,Card/Nature/C_Tree
18.72562,False,CardSpawn,Map1,Mountain,4.875001,0.07338464,-3.674999,Card/Nature/C_Mountain
18.72562,False,CardSpawn,Map1,Copper Mine,7.875,0.07322925,-3.674999,Card/Nature/C_Copper Mine
18.72562,False,CardSpawn,Map1,Forest,7.125,0.07338017,3.674999,Card/Nature/C_Forest
24.30677,False,CardSpawn,Map1,village,60.99998,0.1766915,174.75,Card/Scene/C_Human Captal
24.34011,False,CardSpawn,Map1,village,-41.78082,0.1766915,142.5054,Card/Scene/C_Orc Captal
24.37344,False,CardSpawn,Map1,village,-40.25002,0.188385,222,Card/Scene/C_Elf Captal
24.40739,False,CardSpawn,Map1,village,65.24998,0.1766915,183.75,Card/Scene/C_Human Villager
24.44072,False,CardSpawn,Map1,village,53.99998,0.1766915,173.75,Card/Scene/C_Human Villager
24.47407,False,CardSpawn,Map1,village,71.24998,0.188385,176.25,Card/Scene/C_Human Villager
24.50754,False,CardSpawn,Map1,village,73.99998,0.1766915,179.75,Card/Scene/C_Human Villager
24.54087,False,CardSpawn,Map1,village,62.99998,0.1766915,165.75,Card/Scene/C_Human Villager
24.5742,False,CardSpawn,Map1,village,67.24998,0.188385,171,Card/Scene/C_Human Villager
24.60754,False,CardSpawn,Map1,village,31.24998,0.1766915,165,Card/Scene/C_Human Villager
24.64087,False,CardSpawn,Map1,village,59.49998,0.1766915,180.75,Card/Scene/C_Human Villager
24.67421,False,CardSpawn,Map1,village,69.24998,0.188385,168.75,Card/Scene/C_Human Villager
24.70782,False,CardSpawn,Map1,village,66.49998,0.1766915,164.75,Card/Scene/C_Human Villager
24.74118,False,CardSpawn,Map1,village,49.49998,0.1766915,180.75,Card/Scene/C_Human Villager
24.77485,False,CardSpawn,Map1,village,35.24998,0.188385,185.5,Card/Scene/C_Human Villager
24.8082,False,CardSpawn,Map1,village,25.49998,0.1766915,163.75,Card/Scene/C_Human Villager
24.84154,False,CardSpawn,Map1,village,44.24998,0.1766915,175,Card/Scene/C_Human Villager
24.87521,False,CardSpawn,Map1,village,57.49998,0.188385,183.75,Card/Scene/C_Human Villager
24.90855,False,CardSpawn,Map1,village,29.99998,0.1766915,155.25,Card/Scene/C_Human Villager
24.94188,False,CardSpawn,Map1,village,-41.50002,0.1766915,162,Card/Scene/C_Orc Village
24.97529,False,CardSpawn,Map1,village,-32.00002,0.188385,134.75,Card/Scene/C_Orc Village
25.00902,False,CardSpawn,Map1,village,-52.00002,0.1766915,145.75,Card/Scene/C_Orc Village
25.04235,False,CardSpawn,Map1,village,-50.25002,0.1766915,150,Card/Scene/C_Orc Village
25.07568,False,CardSpawn,Map1,village,-59.25002,0.188385,154.75,Card/Scene/C_Orc Village
25.10902,False,CardSpawn,Map1,village,-39.75002,0.1766915,159.75,Card/Scene/C_Orc Village
25.1425,False,CardSpawn,Map1,village,-68.00002,0.1766915,134.25,Card/Scene/C_Orc Village
25.17584,False,CardSpawn,Map1,village,-16.00002,0.188385,122.25,Card/Scene/C_Orc Village
25.20917,False,CardSpawn,Map1,village,-41.75002,0.1766915,150.5,Card/Scene/C_Orc Village
25.24251,False,CardSpawn,Map1,village,-23.50002,0.1766915,176.25,Card/Scene/C_Orc Village
25.27584,False,CardSpawn,Map1,village,-55.00002,0.188385,156.75,Card/Scene/C_Orc Village
25.30917,False,CardSpawn,Map1,village,-38.00002,0.1766915,117.75,Card/Scene/C_Orc Village
25.3425,False,CardSpawn,Map1,village,-51.00002,0.1766915,165.75,Card/Scene/C_Orc Village
