timeStamp,gamePaused,eventType,mapName,cardName,pos_x,pos_y,pos_z,cardPath
0,False,GameStart,Map1,Null,0,0,0,Null
0.12,False,CardSpawn,Map1,Apple,-8.044,0.140128,1.31,Card/Food/C_Apple
0.12,False,CardSpawn,Map1,Lumberjack,-0.426,0.190128,1.25,Card/Villager/C_Lumberjack
0.12,False,CardSpawn,Map1,Vagrant,-4.84,0.190128,1.25,Card/Villager/C_Vagrant
0.12,False,CardSpawn,Map1,Village,5.77,0.09212804,114.12,Card/C_Settlement
1.100231,False,CardSpawn,Map1,Forest,5.22,0.65214,2.2,Card/Nature/C_Forest
1.100231,False,CardSpawn,Map1,Mountain,4.53,0.03487583,-3.01,Card/Nature/C_Mountain
1.100231,False,CardSpawn,Map1,Logging Axe,-1.759,0.32114,1.3,Card/Tool/C_Logging Axe
1.100231,False,CardSpawn,Map1,Mining Pickaxe,2.6,0.32114,-1.51,Card/Tool/C_StonePickaxe
3.243809,False,CardSpawn,Map1,Tree,6.375,0.036228,1.575,Card/Nature/C_Tree
3.243809,False,CardSpawn,Map1,Rock,4.125,0.036228,-1.575,Card/Nature/C_Rock
9.9,False,CardMergeOrder,Map1,Apple,-8.044,0.4999986,1.31,Card/Food/C_Apple
9.9,False,CardMergeOrder,Map1,Logging Axe,-1.759,0.499998,1.3,Card/Tool/C_Logging Axe
18.48,False,CardMergeOrder,Map1,Vagrant,-6.626441,0.4999762,1.26653,Card/Villager/C_Vagrant
18.48,False,CardMergeOrder,Map1,Apple,-8.044,0.4999761,1.31,Card/Food/C_Apple
21.62066,False,CardSpawn,Map1,Villager,-7.33522,0.4999762,1.288265,Card/Villager/C_Villager
21.73206,False,CardDestroyed,Map1,Vagrant,-7.33522,0.4999762,1.288265,Card/Villager/C_Vagrant
21.73206,False,CardDestroyed,Map1,Apple,-7.33522,0.4999762,1.288265,Card/Food/C_Apple
23.92,False,CardMergeOrder,Map1,Mining Pickaxe,-6.029956,0.4999996,1.114055,Card/Tool/C_StonePickaxe
23.92,False,CardMergeOrder,Map1,Villager,-7.33522,0.4999997,1.288265,Card/Villager/C_Villager
26.96027,False,CardSpawn,Map1,Wood,6.375,0.3163715,1.703273,Card/Material/C_Wood
27.04276,False,CardSpawn,Map1,Miner,-6.682589,0.4999996,1.20116,Card/Villager/C_Miner
27.15305,False,CardDestroyed,Map1,Mining Pickaxe,-6.682589,0.4999996,1.20116,Card/Tool/C_StonePickaxe
27.15305,False,CardDestroyed,Map1,Villager,-6.682589,0.4999996,1.20116,Card/Villager/C_Villager
27.36131,False,CardDestroyed,Map1,Tree,6.375,0.08472591,1.602029,Card/Nature/C_Tree
27.36604,False,CardDestroyed,Map1,Tree,6.375,0.08472591,1.602029,Card/Nature/C_Tree
28.74003,False,CardSpawn,Map1,Tree,4.875,0.036228,3.675,Card/Nature/C_Tree
